m,n,r,DRS_H_norm_0_mean,DRS_H_norm_1_mean,DRS_H_rank_mean,DRS_time_mean
100,50,25,2479.0,189.89275380944267,47.6,0.46582821999999996
120,60,30,3561.2,244.1350955934337,58.4,2.54412308
140,70,35,4896.6,314.81356038575314,68.0,3.7991089799999997
160,80,40,6326.4,360.9251744372476,77.8,4.01302612
180,90,45,8053.2,440.4366404770147,87.8,4.77368382
200,100,50,9951.8,484.0362463498809,97.6,5.01645986
220,110,55,12058.8,590.1397326362166,108.6,5.0097639
240,120,60,14184.8,668.8441090660527,118.8,5.3901087
260,130,65,16861.2,722.8087768088769,127.4,5.12956598
280,140,70,19445.2,828.1794867539331,138.6,5.495927460000001
300,150,75,22318.0,871.7923913058039,147.8,5.9870337
320,160,80,25333.2,1000.0501768546058,158.2,5.999270340000001
340,170,85,28579.6,1038.3351682834186,168.2,6.35077684
360,180,90,32120.2,1090.2079181443178,177.4,6.5780113799999995
380,190,95,35611.4,1207.94320143805,188.2,7.330318119999999
400,200,100,39601.6,1306.497082854132,198.2,7.28433782
420,210,105,43747.6,1368.9155258031674,208.0,7.061669819999999
440,220,110,47869.4,1431.86014278095,217.6,7.771114279999999
460,230,115,52140.6,1567.668253198143,228.0,8.25755434
480,240,120,57046.6,1636.048035481505,237.6,8.072131279999999
500,250,125,61677.0,1743.1247524249957,246.2,9.01498428
520,260,130,66733.4,1806.3705935142164,258.4,14.12408246
540,270,135,71823.6,1915.4685212020152,267.4,14.79943038
560,280,140,76953.6,2025.7727450781263,276.6,17.21083556
580,290,145,82996.0,2114.9023361151403,287.8,16.68229686
600,300,150,88435.4,2212.7047087412748,298.8,20.672712999999998
60,30,15,881.6,99.80052529559725,28.6,0.16877464000000003
80,40,20,1580.8,150.63218950518655,39.0,0.2703102
