m,n,r,DRS_H_norm_0_mean,DRS_H_norm_1_mean,DRS_H_rank_mean,DRS_time_mean
100,50,25,2417.8,189.88893604491267,47.4,1.9423280000000003
120,60,30,3474.2,244.12928745428707,57.8,13.0107695
140,70,35,4770.8,314.8062715176729,67.4,32.18871764
160,80,40,6167.4,360.91596923788154,76.6,35.11233178
180,90,45,7841.4,440.42475837257473,87.0,51.74571406
200,100,50,9670.4,484.0198435409284,97.2,49.78060802
220,110,55,11742.8,590.1197426819122,108.4,65.13177618
240,120,60,13855.2,668.8194048767439,117.8,73.63452952
260,130,65,16427.2,722.7813222280965,126.2,77.45697333999999
280,140,70,18953.6,828.1463057191701,137.2,101.32341444
300,150,75,21789.8,871.7555930779341,147.2,105.89518494000001
320,160,80,24754.6,1000.0071582144568,157.8,122.98011472
340,170,85,27993.6,1038.2890827579217,167.8,128.89109892000002
360,180,90,31459.4,1090.154791627979,176.6,151.01897632
380,190,95,34908.2,1207.87715843203,187.4,181.30558850000003
400,200,100,38876.8,1306.4306615733349,196.8,178.58087729999997
420,210,105,42885.0,1368.8419559449073,206.8,189.0764259
440,220,110,47006.4,1431.781617167328,216.0,204.01721562000003
460,230,115,51260.6,1567.5770440452666,227.2,223.12892352
480,240,120,56041.6,1635.9528446576005,235.4,241.44551214000003
500,250,125,60707.4,1743.024590455594,245.2,243.88123084
520,260,130,65659.2,1806.2582472096292,257.6,372.69613369999996
540,270,135,70661.4,1915.3462025156227,265.4,414.22956822000003
560,280,140,75778.4,2025.6497290191473,274.6,423.93123108
580,290,145,81722.6,2114.7632981619413,287.0,440.8876599
600,300,150,87222.6,2212.562772611483,297.4,466.6364634799999
60,30,15,872.0,99.80108658746498,28.6,0.32326819999999995
80,40,20,1541.6,150.63021057107926,39.0,0.7731127799999999
