m,r,d,H_div_mr_norm_0_mean,H_div_AMP_norm_0_mean,H_div_AMP_norm_1_mean,H_rank_ratio_mean,time_mean
60,15,100,0.968888888888889,0.5055896047523771,0.8337512586974498,1.9066666666666667,0.32326819999999995
80,20,100,0.9635,0.5049633765520265,0.8249494502135117,1.95,0.7731127799999999
100,25,100,0.9671200000000001,0.508794330657653,0.8220846784629785,1.8960000000000001,1.9423280000000003
120,30,100,0.9650555555555556,0.5060353853153615,0.818272775678173,1.9266666666666665,13.0107695
140,35,100,0.9736326530612244,0.5108512138152497,0.8233211429707115,1.9257142857142857,32.18871764
160,40,100,0.96365625,0.5091280591089162,0.8202629469498717,1.9150000000000003,35.11233178
180,45,100,0.968074074074074,0.5111299231583933,0.8183166461385681,1.9333333333333336,51.74571406
200,50,100,0.9670400000000001,0.5114554006112655,0.8210887591054616,1.9439999999999997,49.78060802
220,55,100,0.9704793388429753,0.5125017840884329,0.8178926442161506,1.9709090909090907,65.13177618
240,60,100,0.9621666666666666,0.5085648198902056,0.819277988675676,1.9633333333333334,73.63452952
260,65,100,0.9720236686390532,0.5147261958904361,0.8170151505116131,1.9415384615384617,77.45697333999999
280,70,100,0.9670204081632653,0.5111960408534122,0.8201178956913641,1.9600000000000002,101.32341444
300,75,100,0.9684355555555555,0.5139234224161766,0.8209078745224003,1.9626666666666668,105.89518494000001
320,80,100,0.9669765625,0.5122722134326645,0.8205490196156712,1.9725000000000001,122.98011472
340,85,100,0.9686366782006921,0.513749765364416,0.818591512271403,1.9741176470588235,128.89109892000002
360,90,100,0.9709691358024692,0.5163272828207935,0.8119156146267607,1.9622222222222223,151.01897632
380,95,100,0.9669861495844876,0.5137340780600334,0.8142679485194702,1.972631578947368,181.30558850000003
400,100,100,0.9719200000000001,0.5158873314699771,0.815049205060191,1.968,178.58087729999997
420,105,100,0.9724489795918367,0.5167885051356531,0.8125221452928054,1.9695238095238097,189.0764259
440,110,100,0.9712066115702479,0.5171054511796154,0.8117960440725929,1.9636363636363636,204.01721562000003
460,115,100,0.9690094517958412,0.5157373935834707,0.8104520407634173,1.9756521739130435,223.12892352
480,120,100,0.9729444444444445,0.5189358598308222,0.8140526241928692,1.9616666666666667,241.44551214000003
500,125,100,0.9713184,0.517662206566519,0.8168337381782805,1.9616,243.88123084
520,130,100,0.9712899408284024,0.5191951024684962,0.8122296138860055,1.9815384615384617,372.69613369999996
540,135,100,0.969292181069959,0.5165461767637345,0.8071918580774715,1.9659259259259259,414.22956822000003
560,140,100,0.9665612244897959,0.5148460743076421,0.809317645315927,1.9614285714285713,423.93123108
580,145,100,0.9717312722948872,0.5188672378861877,0.8118326592002381,1.9793103448275862,440.8876599
600,150,100,0.96914,0.51711550199415,0.8093619895155652,1.9826666666666668,466.6364634799999
