method,H_div_bound_norm_0_min,H_div_bound_norm_0_mean,H_div_bound_norm_0_max,H_div_AMP_norm_0_min,H_div_AMP_norm_0_mean,H_div_AMP_norm_0_max,H_div_AMP_norm_1_min,H_div_AMP_norm_1_mean,H_div_AMP_norm_1_max,H_rank_ratio_min,H_rank_ratio_mean,H_rank_ratio_max
Gurobi,0.9311111111111111,0.9676126324417124,0.9924489795918368,0.4967291757522896,0.5121455697875259,0.5295617899373986,0.7975816691751356,0.8181422806610013,0.8457339088314888,1.8,1.9513993372917466,2.0
DRS,0.9333333333333333,0.9660871375930228,0.9928571428571429,0.4968745457188545,0.5093737297416281,0.5224752630752316,0.7975818962612776,0.8212679069321285,0.8457368725631008,1.8,1.9403091789163216,2.0
DRS_Boyd,0.9388888888888889,0.9688401461292971,0.9951020408163266,0.49760139555167904,0.5133439192133602,0.5295777800874661,0.7975836390106906,0.8169008168008075,0.8457491231507653,1.8,1.9552946048994293,2.0
DRS_FP,0.9377777777777778,0.9686894801978326,0.9946938775510205,0.4978921354848088,0.5132659813963921,0.5295857751624999,0.7975831681566493,0.816900095841473,0.8457387644312296,1.8,1.9554731763280004,2.0
