method,H_div_AMP_norm_0_min,H_div_AMP_norm_0_mean,H_div_AMP_norm_0_max,H_div_AMP_norm_1_min,H_div_AMP_norm_1_mean,H_div_AMP_norm_1_max
DRS,-0.00017510834829048694,0.0002496656442853177,0.0023148148148148806,2.4350003569040268e-8,8.047126940088515e-7,2.194170436631282e-5
DRS_Boyd,-0.00029347028613346815,0.0006150446717395378,0.0063657407407407,1.166104561578507e-6,4.332602057104581e-6,4.698494097632455e-5
DRS_FP,-6.301693580146317e-5,0.0005190809547041454,0.004572175048987548,4.5143979310324767e-7,3.3535763939431434e-6,6.0478429513288745e-6
