m,r,d,H_div_mr_norm_0_mean,H_div_AMP_norm_0_mean,H_div_AMP_norm_1_mean,H_rank_ratio_mean,time_mean
60,15,100,0.9657777777777777,0.5039772077955524,0.833730671772581,1.9066666666666667,0.39624194
80,20,100,0.9629999999999999,0.5047028399744857,0.8249468125992188,1.95,0.62638844
100,25,100,0.96488,0.5076134790225476,0.822081952618794,1.8960000000000001,1.3221555199999997
120,30,100,0.9648333333333333,0.5059225206217434,0.8182689392418354,1.9266666666666665,8.07371326
140,35,100,0.9736734693877551,0.5108724089873045,0.8233203745021438,1.9257142857142857,16.2325184
160,40,100,0.9636562499999999,0.5091277116123618,0.8202627094834545,1.9200000000000004,14.89037466
180,45,100,0.9681975308641976,0.5111954855765454,0.8183169231508567,1.9333333333333336,21.556219860000002
200,50,100,0.96724,0.5115611712217554,0.8210883681913581,1.9439999999999997,25.189771020000002
220,55,100,0.9705123966942149,0.5125190254887879,0.8178923778324346,1.9709090909090907,32.794078
240,60,100,0.9622083333333332,0.5085869737192574,0.819278239399118,1.9633333333333334,31.93481824
260,65,100,0.9720591715976331,0.514745050955,0.8170151081191422,1.9415384615384617,32.5816976
280,70,100,0.9670918367346939,0.5112337553645906,0.8201180030252063,1.9600000000000002,36.5886347
300,75,100,0.9687555555555555,0.514093372096284,0.820908172665234,1.9626666666666668,42.43123188
320,80,100,0.9670703125,0.5123217229421956,0.8205493393872552,1.9725000000000001,41.76703242
340,85,100,0.9686366782006921,0.5137496826742641,0.8185919822538118,1.9741176470588235,44.158714079999996
360,90,100,0.9711358024691359,0.5164159531884494,0.8119163533102476,1.9622222222222223,48.211005140000005
380,95,100,0.9671689750692523,0.5138314838924786,0.8142687219493624,1.972631578947368,49.8398507
400,100,100,0.971955,0.5159058817191184,0.8150498943321937,1.968,48.62540866
420,105,100,0.9724489795918366,0.5167885516449411,0.8125227485937867,1.9695238095238097,56.07075011999999
440,110,100,0.9712561983471073,0.5171319492390587,0.8117968771066855,1.9636363636363636,54.725432479999995
460,115,100,0.9691493383742911,0.5158119046865778,0.8104528018771916,1.9756521739130435,62.13147328
480,120,100,0.9729583333333334,0.5189432231712999,0.8140533177393319,1.9616666666666667,69.93664734
500,125,100,0.9714048,0.5177082490091612,0.8168342706295089,1.9616,71.48659632
520,130,100,0.9712840236686391,0.5191920132097574,0.8122302619167293,1.9815384615384617,142.73719314000002
540,135,100,0.9693909465020576,0.516598804881232,0.8071928990089032,1.9659259259259259,149.564629
560,140,100,0.9666071428571428,0.5148705814099264,0.8093183533055968,1.9614285714285713,163.18020692
580,145,100,0.9717954815695601,0.5189014189472178,0.8118333836786229,1.9793103448275862,177.36156956
600,150,100,0.9691577777777777,0.517125056047089,0.8093628258706389,1.9826666666666668,195.77740848000002
