m,n,r,DRS_H_norm_0_mean,DRS_H_norm_1_mean,DRS_H_rank_mean,DRS_time_mean
100,50,25,2410.2,189.88794277683465,47.4,4.39886098
120,60,30,3468.6,244.12763386228607,57.8,35.8733555
140,70,35,4764.0,314.80532392520433,67.4,103.58462336
160,80,40,6162.4,360.9147976266491,76.6,121.17860334
180,90,45,7834.8,440.4236786668474,87.0,178.20912872
200,100,50,9660.8,484.01765254727763,97.0,251.52401861999996
220,110,55,11733.8,590.117779896121,108.4,391.76614672
240,120,60,13848.2,668.8174310508296,117.8,338.15737454
260,130,65,16420.8,722.778864170433,126.2,480.23986728
280,140,70,18945.8,828.1434990096853,137.2,465.53203715999996
300,150,75,21783.2,871.7525761164377,147.2,609.33759786
320,160,80,24749.0,1000.0036810946187,157.8,718.68737094
340,170,85,11152.2,408.8347905487358,66.8,584.9514372000001
360,180,90,-1.0,-1.0,-1.0,-1.0
380,190,95,-1.0,-1.0,-1.0,-1.0
400,200,100,-1.0,-1.0,-1.0,-1.0
420,210,105,-1.0,-1.0,-1.0,-1.0
440,220,110,-1.0,-1.0,-1.0,-1.0
460,230,115,-1.0,-1.0,-1.0,-1.0
480,240,120,-1.0,-1.0,-1.0,-1.0
500,250,125,-1.0,-1.0,-1.0,-1.0
520,260,130,-1.0,-1.0,-1.0,-1.0
540,270,135,-1.0,-1.0,-1.0,-1.0
560,280,140,-1.0,-1.0,-1.0,-1.0
580,290,145,-1.0,-1.0,-1.0,-1.0
600,300,150,-1.0,-1.0,-1.0,-1.0
60,30,15,867.8,99.79919752923055,28.6,0.7676564
80,40,20,1536.6,150.62938627005778,39.0,2.04446072
