m,n,r,1_norm_P1_P3_P4_r(H),1_norm_P1_P3_P4_||H||_1,1_norm_P1_P3_P4_||H||_0,"1_norm_P1_P3_P4_||H||_2,1","1_norm_P1_P3_P4_||H||_2,0",1_norm_P1_P3_P4_Computational_Time(s),1_norm_P1_P3_P4_Memory_Used(MiB),1_norm_PLS_P4_r(H),1_norm_PLS_P4_||H||_1,1_norm_PLS_P4_||H||_0,"1_norm_PLS_P4_||H||_2,1","1_norm_PLS_P4_||H||_2,0",1_norm_PLS_P4_Computational_Time(s),1_norm_PLS_P4_Memory_Used(MiB),1_norm_PMN_P3_r(H),1_norm_PMN_P3_||H||_1,1_norm_PMN_P3_||H||_0,"1_norm_PMN_P3_||H||_2,1","1_norm_PMN_P3_||H||_2,0",1_norm_PMN_P3_Computational_Time(s),1_norm_PMN_P3_Memory_Used(MiB),1_norm_PMX_r(H),1_norm_PMX_||H||_1,1_norm_PMX_||H||_0,"1_norm_PMX_||H||_2,1","1_norm_PMX_||H||_2,0",1_norm_PMX_Computational_Time(s),1_norm_PMX_Memory_Used(MiB),1_norm_admm_r(H),1_norm_admm_||H||_1,1_norm_admm_||H||_0,"1_norm_admm_||H||_2,1","1_norm_admm_||H||_2,0",1_norm_admm_Computational_Time(s),1_norm_admm_Memory_Used(MiB),1_norm_admme_r(H),1_norm_admme_||H||_1,1_norm_admme_||H||_0,"1_norm_admme_||H||_2,1","1_norm_admme_||H||_2,0",1_norm_admme_Computational_Time(s),1_norm_admme_Memory_Used(MiB)
50,25,12,25,34.97374505729201,387,7.8255886052748815,25,51.06085658073425,80.11922264099121,25,34.97374505760155,387,7.825588604879901,25,20.691988706588745,84.58395671844482,25,34.97374505728551,387,7.8255886052953,25,21.59373140335083,92.8885259628296,25,34.973745057291495,387,7.825588605275976,25,18.851853609085083,96.75071334838869,25,34.97375146716512,387,7.825604212276934,25,488.2689235210418,31.1649751663208,25,34.9737452052338,387,7.825588429897676,25,1550.5974884033203,31.16569328308105
60,30,15,30,42.26263069830907,587,8.56334106414585,30,128.157639503479,154.8116455078125,30,42.26263069831375,587,8.563341064070299,30,39.51608324050903,162.86293601989746,30,42.262630698305195,587,8.563341064141154,30,45.567978382110596,172.51381492614746,30,42.262630698299475,587,8.563341064151974,30,35.59998631477356,179.91438579559326,30,42.2626397679093,587,8.563321469958797,30,1103.9545125961304,44.82008743286133,30,42.26263085801429,587,8.563341448699207,30,3444.729134082794,44.82085037231445
70,35,17,35,48.71787807222241,773,9.399024707703921,35,241.93954014778137,322.5671863555908,35,48.71787808897678,773,9.399024716822185,35,64.18589043617249,320.92754650115967,35,48.71787807226346,773,9.399024707663822,35,80.42704391479492,345.7302551269531,35,48.71787807212892,773,9.3990247079647,35,62.89609670639038,354.5630798339844,35,48.717890355869116,773,9.399029538605506,35,1136.8716053962708,105.53592777252197,35,48.71787830468941,773,9.39902478446204,35,6653.299723625183,105.53659915924072
80,40,20,40,58.894143093671815,1012,10.444493549102239,40,497.4872250556946,561.9126281738281,40,58.89414307287243,1012,10.444493560119653,40,104.46364688873291,560.6868915557861,40,58.89414309366465,1012,10.444493549078068,40,139.9557614326477,590.9287796020508,40,58.894143093658144,1012,10.444493549085252,40,111.42996144294739,599.6946392059326,40,58.894158698637014,1012,10.444497082396841,40,2783.110106945038,184.73358345031738,40,58.89414336002286,1012,10.444493877117285,40,8737.996036291122,184.73421096801758
