m,n,r,1_norm_P1_P3_||H||_1,1_norm_P1_P3_||H||_0,1_norm_P1_P3_r(H),1_norm_P1_P3_||AHA - A||_F,1_norm_P1_P3_||HAH - H||_F,1_norm_P1_P3_||(AH)^T - AH||_F,1_norm_P1_P3_||A^TAH - AT||_F,1_norm_P1_P3_Computational_Time(s),1_norm_P1_P3_Memory_Used(MiB),1_norm_PLS_||H||_1,1_norm_PLS_||H||_0,1_norm_PLS_r(H),1_norm_PLS_||AHA - A||_F,1_norm_PLS_||HAH - H||_F,1_norm_PLS_||(AH)^T - AH||_F,1_norm_PLS_||A^TAH - AT||_F,1_norm_PLS_Computational_Time(s),1_norm_PLS_Memory_Used(MiB)
50,25,12,31.537669221866658,600.0,25,3.3316966246093265e-12,0.805123536517519,4.052615266915876e-12,1.4746982608635824e-11,24.548811197280884,77.43102550506592,31.537669221865176,600.0,25,2.3863367685737983e-14,0.805123536517723,1.452126922843197e-14,2.888891699174052e-14,16.70670199394226,83.8300085067749
60,30,15,40.86130340252471,900.0,30,1.256356976195306e-11,0.8610376281271036,8.364926574833608e-12,3.3268263250078636e-11,68.56378102302551,165.7424554824829,40.86130340250896,900.0,30,4.1264302034160076e-14,0.8610376281266772,2.2358210697270872e-14,4.631844308938892e-14,31.048258304595947,176.71250915527344
70,35,17,47.562307045769735,1190.0,35,5.510530465596796e-11,0.9077167742905108,3.447792028037786e-11,1.6261272449825267e-10,146.8346529006958,308.6178169250488,47.56230704570957,1190.0,35,9.432714879812569e-13,0.9077167742899924,5.904464529077249e-13,1.2672183348503434e-12,53.39605951309204,312.54798316955566
80,40,20,56.309634179406224,1600.0,40,9.15263032712866e-12,0.902807062431826,6.106080820277541e-12,4.132721346028375e-11,287.8490300178528,514.250470161438,56.309634179416975,1600.0,40,9.07759082174278e-12,0.9028070624319672,3.381981550506983e-12,7.425814810791272e-12,86.36146807670593,520.6531858444214
90,45,22,61.16889122852104,1980.0,45,5.0428410018561954e-12,0.8970256105624403,2.718981240704632e-12,1.876256345771641e-11,487.1268594264984,812.5179872512817,61.1688912285146,1980.0,45,4.005430034718491e-12,0.8970256105621323,1.4394151369547522e-12,3.6286865832036078e-12,132.43901228904724,819.1972455978394
100,50,25,70.25613074832097,2500.0,50,3.16735522871368e-11,0.8897121955641,1.6458386127172036e-11,1.094334873560904e-10,873.4308063983917,1057.8819093704224,70.25613074834132,2500.0,50,1.99324819666818e-13,0.8897121955637333,8.423653171244374e-14,2.1341444775598596e-13,191.7890179157257,1061.5722465515137
