m,r,1_norm_PN_||H||_1,1_norm_PN_||H||_0,1_norm_PN_r(H),1_norm_PN_||AHA - A||_F,1_norm_PN_||HAH - H||_F,1_norm_PN_||(HA)^T - HA||_F,1_norm_PN_||AHb - b||_1,1_norm_PN_Computational_Time(s),1_norm_PN_Memory_Used(MiB),1_norm_P1_P4_||H||_1,1_norm_P1_P4_||H||_0,1_norm_P1_P4_r(H),1_norm_P1_P4_||AHA - A||_F,1_norm_P1_P4_||HAH - H||_F,1_norm_P1_P4_||(HA)^T - HA||_F,1_norm_P1_P4_||AHb - b||_1,1_norm_P1_P4_Computational_Time(s),1_norm_P1_P4_Memory_Used(MiB),1_norm_MSN_||H||_1,1_norm_MSN_||H||_0,1_norm_MSN_r(H),1_norm_MSN_||AHA - A||_F,1_norm_MSN_||HAH - H||_F,1_norm_MSN_||(HA)^T - HA||_F,1_norm_MSN_||AHb - b||_1,1_norm_MSN_Computational_Time(s),1_norm_MSN_Memory_Used(MiB)
20,10,1.4975435652197908,10.0,1,6.4887497904621965,0.0,1.5586629378144257,2.6645352591003757e-15,0.48548221588134766,3.481522560119629,26.30074156952313,200.0,20,2.209000467038961e-13,0.9750007678147875,4.63665017954933e-13,6.221689829999377e-13,2.925170421600342,13.172924041748047,26.3007415695235,200.0,20,1.604387645804205e-14,0.9750007678147824,9.01722743971356e-15,2.6645352591003757e-14,0.6894083023071289,8.55825138092041
40,20,1.5292422139634145,20.0,1,12.90237109918947,0.0,1.9605061466028952,5.5067062021407764e-14,3.2113254070281982,22.417442321777344,55.21834080230232,800.0,40,6.052131400791558e-12,0.9924740148523327,9.332515997873194e-12,2.921396458077652e-11,43.50572896003723,135.82830142974854,55.21834080231443,800.0,40,5.673674128477873e-14,0.9924740148524785,2.4505935799081874e-14,1.7408297026122455e-13,4.932713270187378,42.66571521759033
60,30,1.5809034828393707,30.0,1,20.985573048896875,1.6300722762709273e-16,2.271506933150842,2.753353101070388e-13,9.573498249053955,73.46961975097656,83.32213826804929,1800.0,60,8.627667425122313e-11,1.019031694237416,1.797924490402079e-09,3.537454773550053e-10,314.02829670906067,610.2540616989136,83.3221382678106,1800.0,60,2.041743560420886e-12,1.0190316941786244,6.531915965106666e-13,7.327471962526033e-12,15.782115459442139,118.99945735931396
