m,n,r,1_norm_P1_P3_P4_r(H),1_norm_P1_P3_P4_||H||_1,1_norm_P1_P3_P4_||H||_0,"1_norm_P1_P3_P4_||H||_2,1","1_norm_P1_P3_P4_||H||_2,0",1_norm_P1_P3_P4_Computational_Time(s),1_norm_P1_P3_P4_Memory_Used(MiB),1_norm_PLS_P4_r(H),1_norm_PLS_P4_||H||_1,1_norm_PLS_P4_||H||_0,"1_norm_PLS_P4_||H||_2,1","1_norm_PLS_P4_||H||_2,0",1_norm_PLS_P4_Computational_Time(s),1_norm_PLS_P4_Memory_Used(MiB),1_norm_PMN_P3_r(H),1_norm_PMN_P3_||H||_1,1_norm_PMN_P3_||H||_0,"1_norm_PMN_P3_||H||_2,1","1_norm_PMN_P3_||H||_2,0",1_norm_PMN_P3_Computational_Time(s),1_norm_PMN_P3_Memory_Used(MiB),1_norm_PMX_r(H),1_norm_PMX_||H||_1,1_norm_PMX_||H||_0,"1_norm_PMX_||H||_2,1","1_norm_PMX_||H||_2,0",1_norm_PMX_Computational_Time(s),1_norm_PMX_Memory_Used(MiB),1_norm_admm_r(H),1_norm_admm_||H||_1,1_norm_admm_||H||_0,"1_norm_admm_||H||_2,1","1_norm_admm_||H||_2,0",1_norm_admm_Computational_Time(s),1_norm_admm_Memory_Used(MiB),1_norm_admme_r(H),1_norm_admme_||H||_1,1_norm_admme_||H||_0,"1_norm_admme_||H||_2,1","1_norm_admme_||H||_2,0",1_norm_admme_Computational_Time(s),1_norm_admme_Memory_Used(MiB)
50,25,12,25,34.393481104343735,403,7.870988820134911,25,48.19120216369629,80.11835289001465,25,34.39348110437905,403,7.8709888148740665,25,20.004674196243286,84.58381271362305,25,34.393481104377834,403,7.870988820062172,25,21.18849778175354,92.88850498199463,25,34.393481104359786,403,7.87098882013801,25,17.004520177841187,96.75073051452637,25,34.39917713461655,508,7.870144567094689,25,7.953504800796509,31.154475212097168,25,34.39365274908218,403,7.871260612215331,25,84.18249869346619,31.155412673950195
60,30,15,30,43.2700406564624,589,8.942669165890974,30,118.79686498641968,185.76798057556152,30,43.270040657090284,589,8.9426691670828,30,37.40569877624512,193.81404495239258,30,43.270040656462484,589,8.942669165879048,30,43.10919976234436,203.46449375152588,30,43.270040656498715,589,8.94266916584386,30,34.39186668395996,210.86559867858887,30,43.27889292235312,756,8.941676488108511,30,14.640838384628296,75.7553014755249,30,43.27023514028688,588,8.94271908735118,30,126.47745013237,75.7561902999878
70,35,17,35,50.81278204475065,774,9.570452073851875,35,224.9461853504181,353.45571994781494,35,50.81278204621869,774,9.570452074229282,35,66.61328196525574,351.81862354278564,35,50.812782043581265,774,9.570452074239027,35,79.8902838230133,376.6187562942505,35,50.81278204476861,774,9.570452073927742,35,64.74602103233337,385.45155334472656,35,50.823922948520554,1018,9.579968617776482,35,20.986234664916992,136.4041872024536,35,50.81299490098048,774,9.570161638316801,35,211.48570370674133,136.4045925140381
80,40,20,40,59.44504754469267,997,10.44730645914239,40,517.5248351097107,592.787260055542,40,59.445047539549776,997,10.447306478293124,40,109.71905326843262,591.5614614486694,40,59.44504754474758,997,10.447306457891159,40,145.22610902786255,621.803412437439,40,59.445047544817825,997,10.447306458219158,40,119.5402512550354,630.4618377685547,40,59.45849824257458,1272,10.448371020567933,40,28.719250202178955,215.58131504058838,40,59.44530229670269,997,10.44772712935832,40,242.94953107833862,215.5817289352417
90,45,22,45,64.38990033138921,1265,10.872352740199819,45,922.4635660648346,934.9508514404297,45,64.38990033155733,1265,10.87235274002605,45,167.5705509185791,929.0743284225464,45,64.38990033138012,1265,10.872352740152254,45,236.04318928718567,970.23655128479,45,64.38990033135849,1265,10.872352740169763,45,186.33721041679382,972.6207818984985,45,64.40847364709228,1610,10.881526205577241,45,37.45976972579956,315.7810859680176,45,64.39019621329268,1264,10.872422338830166,45,568.6565945148468,315.7819309234619
100,50,25,50,74.36815631684591,1570,11.741799563467088,50,1863.3966948986053,1393.4645643234253,50,74.36815631718592,1570,11.741799563836297,50,280.894579410553,1381.4007406234741,50,74.36815631683756,1570,11.741799563665943,50,477.7145137786865,1434.9863319396973,50,74.36815631666838,1570,11.741799567865929,50,308.2943413257599,1438.5905694961548,50,74.39212771621433,2067,11.747774792615589,50,38.8017475605011,439.47301959991455,50,74.36847998441431,1567,11.741579161072654,50,635.9174239635468,439.4737796783447
