m,n,r,||1_norm_P1_P3_P4 - 1_norm_admm||_F,||1_norm_P1_P3_P4 - 1_norm_admme||_F,||1_norm_PLS_P4 - 1_norm_admm||_F,||1_norm_PLS_P4 - 1_norm_admme||_F,||1_norm_PMN_P3 - 1_norm_admm||_F,||1_norm_PMN_P3 - 1_norm_admme||_F,||1_norm_PMX - 1_norm_admm||_F,||1_norm_PMX - 1_norm_admme||_F
50,25,12,0.02405366088765324,0.0020928074643539307,0.024053660319974392,0.0020928077889786813,0.024053660786209147,0.002092807275753626,0.02405366095308631,0.002092807685216926
60,30,15,0.013942463095975136,0.0011630994674067213,0.01394245134695597,0.001163084442924733,0.013942463125009751,0.0011630995098158743,0.013942462187119503,0.0011630990431050754
70,35,17,0.024292515541976187,0.0017404451545448229,0.024292515475316693,0.001740444521334036,0.024292515588288162,0.001740445417196322,0.02429251528910697,0.001740444602567471
80,40,20,0.039375317807319954,0.0036227606445651665,0.03937531756641347,0.0036227610650156005,0.03937531777634481,0.003622760619972328,0.03937531771563106,0.0036227615903160876
90,45,22,0.03964413871028897,0.004103105041516115,0.03964413838392501,0.004103105350397715,0.039644138416880186,0.004103105310327483,0.03964414337364699,0.004103092464904088
100,50,25,0.034315188380373236,0.0047074308736956855,0.034315372804033455,0.00470770371668914,0.03431518783819006,0.004707429303049393,0.03431518845198002,0.004707430617473698
