m,n,r,1_norm_P1_P3_P4_r(H),1_norm_P1_P3_P4_||H||_1,1_norm_P1_P3_P4_||H||_0,"1_norm_P1_P3_P4_||H||_2,1","1_norm_P1_P3_P4_||H||_2,0",1_norm_P1_P3_P4_Computational_Time(s),1_norm_P1_P3_P4_Memory_Used(MiB),1_norm_PLS_P4_r(H),1_norm_PLS_P4_||H||_1,1_norm_PLS_P4_||H||_0,"1_norm_PLS_P4_||H||_2,1","1_norm_PLS_P4_||H||_2,0",1_norm_PLS_P4_Computational_Time(s),1_norm_PLS_P4_Memory_Used(MiB),1_norm_PMN_P3_r(H),1_norm_PMN_P3_||H||_1,1_norm_PMN_P3_||H||_0,"1_norm_PMN_P3_||H||_2,1","1_norm_PMN_P3_||H||_2,0",1_norm_PMN_P3_Computational_Time(s),1_norm_PMN_P3_Memory_Used(MiB),1_norm_PMX_r(H),1_norm_PMX_||H||_1,1_norm_PMX_||H||_0,"1_norm_PMX_||H||_2,1","1_norm_PMX_||H||_2,0",1_norm_PMX_Computational_Time(s),1_norm_PMX_Memory_Used(MiB),1_norm_admm_r(H),1_norm_admm_||H||_1,1_norm_admm_||H||_0,"1_norm_admm_||H||_2,1","1_norm_admm_||H||_2,0",1_norm_admm_Computational_Time(s),1_norm_admm_Memory_Used(MiB),1_norm_admme_r(H),1_norm_admme_||H||_1,1_norm_admme_||H||_0,"1_norm_admme_||H||_2,1","1_norm_admme_||H||_2,0",1_norm_admme_Computational_Time(s),1_norm_admme_Memory_Used(MiB)
50,25,12,25,34.02786701679938,394,7.775270635038462,25,45.22190737724304,80.11855697631836,25,34.027867016719384,394,7.775270634926994,25,19.71985363960266,84.58366680145264,25,34.02786701679912,394,7.775270635059209,25,20.666095495224,92.88842010498047,25,34.027867016763736,394,7.775270634983506,25,16.647921085357666,96.75060749053955,25,34.03395086451871,524,7.7747046264656925,25,8.97678017616272,31.16485023498535,25,34.02803215168083,394,7.775594814072104,25,56.77750110626221,31.165613174438477
60,30,15,30,44.37179262914662,579,8.927053866314406,30,115.27366590499878,185.76793098449707,30,44.37179261459715,579,8.927053870698028,30,37.29160475730896,193.8140459060669,30,44.37179262916088,579,8.927053866313557,30,41.418724060058594,203.46449661254883,30,44.37179262916894,579,8.927053866524837,30,33.57557272911072,210.8655481338501,30,44.379918835663176,761,8.932106778798337,30,10.105797052383423,75.77054023742676,30,44.37199445225531,579,8.927070665286104,30,100.10611772537231,75.77112579345703
70,35,17,35,49.534232602202216,764,9.514387396439108,35,240.64546179771423,353.4559602737427,35,49.534232602040525,764,9.514387396472342,35,63.72751212120056,351.8188533782959,35,49.534232602189064,764,9.514387396374365,35,76.93835616111755,376.6189308166504,35,49.53423260218911,764,9.514387396589,35,63.129408836364746,385.451771736145,35,49.54585131644184,985,9.513907431240833,35,17.782227277755737,136.4245729446411,35,49.53446325258054,763,9.514508576781283,35,147.69799399375916,136.4252004623413
80,40,20,40,58.63807788866084,1003,10.479258004326432,40,513.1670289039612,592.7872867584229,40,58.63807788865451,1003,10.479258004257355,40,104.94539070129395,591.5616025924683,40,58.638077888678055,1003,10.47925800431862,40,139.34290742874146,621.8035354614258,40,58.638077888650905,1003,10.479258004508994,40,113.09853935241699,630.4620723724365,40,58.652031884103245,1271,10.483669355201814,40,25.033101558685303,215.60846614837646,40,58.63833497773061,1000,10.478673419576326,40,297.2330231666565,215.60913753509521
90,45,22,45,63.42093152535007,1273,10.709921709103636,45,872.4289844036102,934.9512577056885,45,63.420931525306315,1273,10.709921709024188,45,165.1228425502777,929.0747365951538,45,63.42093152534592,1273,10.7099217090216,45,230.26661944389343,970.237117767334,45,63.420931525239126,1273,10.709921712629146,45,190.2739245891571,972.6211738586426,45,63.43934751785906,1602,10.714775180491019,45,32.51755952835083,315.8161287307739,45,63.421224980840236,1271,10.7106522893599,45,377.15524196624756,315.8168001174927
100,50,25,50,73.19948703613925,1566,11.625264888222711,50,1770.3322179317474,1393.465012550354,50,73.1994870418414,1566,11.625264899395281,50,275.46490693092346,1381.4013385772705,50,73.1994870361353,1566,11.625264887829259,50,453.7300350666046,1434.9867582321167,50,73.19948703609045,1566,11.62526488837578,50,300.23713779449463,1438.5908241271973,50,73.22178831363972,2052,11.633212553752047,50,46.43649935722351,439.5158586502075,50,73.19981571932892,1563,11.62493853301096,50,532.7208988666534,439.51640129089355
