m,n,r,d,||A||_0,||A^+||_0,||A^+||_1,||hatA^+||_0,||hatA^+||_1,1_norm_P123_LS_||H||_1,1_norm_P123_LS_||H||_0,1_norm_P123_LS_Time(s),1_norm_P1_LS_||H||_1,1_norm_P1_LS_||H||_0,1_norm_P1_LS_Time(s),1_norm_P1_sym_LS_||H||_1,1_norm_P1_sym_LS_||H||_0,1_norm_P1_sym_LS_Time(s)
150,75,12,0.25,1348,1330,54.68321177525812,1411,35.69517771764539,47.04668814001122,416,6.083134412765503,20.003608535490123,62,5.831565856933594,20.003608535490123,62,5.460629940032959
150,75,12,0.25,1304,1279,47.84124455692741,1345,30.030215441346748,46.50430098485111,374,5.88828444480896,27.4143401279523,86,5.903852701187134,27.4143401279523,86,5.6792826652526855
150,75,12,0.25,1309,1280,49.49418013440265,1538,37.62204066243862,32.806397715684845,382,5.8874595165252686,18.18874962649513,76,6.188460350036621,18.18874962649514,76,5.85905647277832
150,75,12,0.25,1373,1356,49.61494761656459,1856,35.97848468930909,40.15828576453124,322,5.862213373184204,24.31972372020003,82,5.780877113342285,24.003616757926057,58,5.955215215682983
150,75,12,0.25,1323,1296,45.746318875398245,1681,34.960849123293,34.872641897021765,273,5.882595062255859,27.880320483530536,58,5.595628023147583,27.88032048353052,58,5.695960521697998
150,75,12,0.25,1216,1187,43.10893123742207,1515,29.234017102915868,33.598015982861206,280,6.026851415634155,15.242649244140951,62,5.763106107711792,15.242649244140951,62,5.68191933631897
150,75,12,0.25,1336,1313,46.9298517827194,1617,33.56019282499847,38.84653689046779,289,6.010484457015991,23.16287291226544,72,5.262164115905762,23.16287291226544,72,5.410348415374756
150,75,27,0.1,550,545,55.68646191609744,492,27.05887760113635,50.999335148300176,350,5.793313503265381,25.32683001433056,163,5.602362394332886,25.32683001433056,163,6.553578615188599
150,75,27,0.1,573,4249,1.5353165343366984e+16,550,29.607436458196634,51.28847188542566,346,5.877743005752564,24.756547093263663,153,5.849905729293823,24.756547093263656,153,5.96763277053833
150,75,27,0.1,558,549,53.254047495938025,551,24.38951771685561,46.91848539257353,204,6.022491216659546,18.15651392392904,109,5.859255790710449,18.15651392392903,109,5.827885389328003
150,75,27,0.1,527,526,52.348399128025,537,24.234990838447523,48.01807474763925,415,5.732446432113648,23.13141490914162,203,5.541306257247925,23.131414909141625,203,5.993155241012573
150,75,27,0.1,533,515,49.68643250858578,725,23.4529586632972,46.57901848612927,386,5.497194528579712,17.802612663601554,189,6.018389225006104,17.802612663601554,189,6.027317523956299
150,75,27,0.1,531,518,49.32958316295453,526,21.88884297795039,43.59480144083025,257,5.983455657958984,15.939097314030416,107,5.825495481491089,15.939097314030418,107,5.718616962432861
150,75,27,0.1,529,522,50.598755075808455,475,23.27225917189737,44.86214986676499,285,5.881266832351685,19.009642626245643,147,6.305322885513306,19.009642626245643,147,5.868093013763428
150,75,27,0.1,540,534,50.46042555419628,483,23.21378376756568,45.96438077437425,312,5.687392234802246,18.0792571258454,141,5.930282115936279,18.0792571258454,141,6.04792332649231
150,75,27,0.1,544,538,55.34246591789176,474,25.79210429834492,50.89697201993151,464,5.646094560623169,21.396282020609213,213,5.601483583450317,21.396282020609213,213,6.269257545471191
150,75,27,0.1,558,557,55.70399758711069,2541,6490421209679197.0,48.184993840276455,292,5.351928949356079,16.75063069257105,135,5.726798534393311,16.75063069257105,135,6.183579206466675
150,75,27,0.25,1351,1318,72.94346950418876,1583,37.672664182856536,67.95934347336092,808,5.679033756256104,26.57356620516537,305,6.050302505493164,27.73514956004957,315,5.891773700714111
150,75,27,0.25,1326,1307,75.03737904196558,2607,7756720703092013.0,67.89388063509324,859,5.820534944534302,28.091938221170075,303,5.699565410614014,28.09193822117008,303,5.947721719741821
150,75,27,0.25,1349,1341,65.53961282700354,1456,37.12339599325385,61.88325879286875,937,5.692765951156616,30.71620862968907,273,5.801663637161255,30.71620862968907,273,5.754058122634888
150,75,27,0.25,1332,1297,77.82338749297472,1388,39.71721839973661,75.62873402664653,748,5.743023633956909,43.37616326716061,279,5.99778151512146,43.37616326716064,279,5.710464715957642
150,75,27,0.25,1357,1342,68.88105886521882,1369,36.91110485904446,65.77438761072834,986,6.0517778396606445,36.00654356385439,315,5.844805955886841,35.51889956201044,355,5.735111951828003
150,75,27,0.25,1375,1366,69.57483341878626,1372,35.61447029532712,61.63986785764084,792,6.281328916549683,27.2828250034906,267,5.934194564819336,27.2828250034906,267,5.950517892837524
150,75,27,0.25,1313,1295,73.19825077232215,2491,9284745956754284.0,64.79034181459409,855,5.822673320770264,24.515719261874903,295,5.562313318252564,24.515719261874903,295,5.7362895011901855
150,75,27,0.25,1337,1322,71.71350578122804,1133,34.017030573090224,58.34263659758635,681,5.698640823364258,22.587112018420427,257,5.497195482254028,32.693194553669365,307,5.871528387069702
150,75,27,0.25,1282,1240,71.93766022843656,2702,8771957137568418.0,68.68051928808151,859,5.461798906326294,33.70856445782773,271,5.894002676010132,33.70856445782773,271,5.927441596984863
150,75,27,0.25,1305,1278,68.0736637354053,1385,33.331133640302845,58.272969789700696,749,6.100334644317627,23.53649021580616,235,5.883537769317627,23.53649021580616,235,5.601348876953125
150,75,42,0.1,556,554,69.13389984255966,457,26.55453800393875,67.23387290341329,520,6.479509115219116,24.77312926039996,244,5.954720497131348,24.77312926039996,244,5.633464574813843
150,75,42,0.1,560,560,72.03357203026259,2498,7329860201363531.0,69.90088970043627,422,6.09690523147583,30.26012154023249,244,5.948135614395142,30.260121540232497,244,6.421448707580566
150,75,42,0.1,541,541,65.72054182927374,439,25.84897795248977,61.41121747191404,429,5.396520376205444,22.046879561390973,190,5.929276943206787,22.046879561390973,190,5.697901248931885
150,75,42,0.1,568,568,66.87029818734864,491,27.298094268162224,61.187453003272296,394,5.630821943283081,25.20638722385901,198,5.631064414978027,25.20638722385901,198,5.585222244262695
150,75,42,0.1,509,507,67.34848701119162,2199,5356879691528060.0,64.37563977828493,360,6.420977830886841,22.47636570255672,222,6.113466262817383,22.476365702556723,222,5.70251202583313
