m,n,r,1_norm_P1_P3_P4_r(H),1_norm_P1_P3_P4_||H||_1,1_norm_P1_P3_P4_||H||_0,"1_norm_P1_P3_P4_||H||_2,1","1_norm_P1_P3_P4_||H||_2,0",1_norm_P1_P3_P4_Computational_Time(s),1_norm_P1_P3_P4_Memory_Used(MiB),1_norm_PLS_P4_r(H),1_norm_PLS_P4_||H||_1,1_norm_PLS_P4_||H||_0,"1_norm_PLS_P4_||H||_2,1","1_norm_PLS_P4_||H||_2,0",1_norm_PLS_P4_Computational_Time(s),1_norm_PLS_P4_Memory_Used(MiB),1_norm_PMN_P3_r(H),1_norm_PMN_P3_||H||_1,1_norm_PMN_P3_||H||_0,"1_norm_PMN_P3_||H||_2,1","1_norm_PMN_P3_||H||_2,0",1_norm_PMN_P3_Computational_Time(s),1_norm_PMN_P3_Memory_Used(MiB),1_norm_PMX_r(H),1_norm_PMX_||H||_1,1_norm_PMX_||H||_0,"1_norm_PMX_||H||_2,1","1_norm_PMX_||H||_2,0",1_norm_PMX_Computational_Time(s),1_norm_PMX_Memory_Used(MiB),1_norm_admm_r(H),1_norm_admm_||H||_1,1_norm_admm_||H||_0,"1_norm_admm_||H||_2,1","1_norm_admm_||H||_2,0",1_norm_admm_Computational_Time(s),1_norm_admm_Memory_Used(MiB),1_norm_admme_r(H),1_norm_admme_||H||_1,1_norm_admme_||H||_0,"1_norm_admme_||H||_2,1","1_norm_admme_||H||_2,0",1_norm_admme_Computational_Time(s),1_norm_admme_Memory_Used(MiB)
50,25,12,25,34.06338320795196,756.0,7.77030589469091,25,47.59581732749939,80.11865711212158,25,34.063383207806076,756.0,7.770305896873329,25,20.008923292160034,84.58342838287354,25,34.06338320754784,756.0,7.770305893178804,25,21.01443600654602,92.88760566711426,25,34.06338320795059,756.0,7.770305894695921,25,16.853814363479614,96.7499647140503,25,34.11907324300287,1250.0,7.800157162319294,25,2.3611600399017334,31.153343200683594,25,34.06506737383637,1250.0,7.769088535940301,25,21.6861789226532,31.154144287109375
60,30,15,30,42.942855198124334,1125.0,8.83452930733002,30,122.14155912399292,185.76703262329102,30,42.942855208965256,1125.0,8.834529202544172,30,37.347102880477905,193.81296825408936,30,42.94285519811878,1125.0,8.834529307341002,30,41.09260702133179,203.4632911682129,30,42.942855198671346,1125.0,8.834529307903413,30,34.40289235115051,210.86416339874268,30,43.01800053534861,1800.0,8.846639408233203,30,4.001248359680176,75.75345802307129,30,42.94482284956436,1800.0,8.832089344645725,30,38.479103326797485,75.7537899017334
70,35,17,35,49.52464433520109,1496.0,9.434123508019802,35,244.44855165481567,353.4545192718506,35,49.524644335229624,1496.0,9.434123507609181,35,65.08190774917603,351.8171796798706,35,49.52464434105078,1496.0,9.43412350902586,35,79.30377769470215,376.617130279541,35,49.52464433521877,1496.0,9.434123507849254,35,64.32510685920715,385.4498338699341,35,49.63787587629511,2450.0,9.461398514810476,35,4.092178583145142,136.4016284942627,35,49.5269106807427,2450.0,9.435279944475138,35,50.046464681625366,136.4023380279541
80,40,20,40,58.48054339424981,2000.0,10.33836560016486,40,504.33039021492004,592.7852668762207,40,58.48054339428724,2000.0,10.338365600282662,40,107.84147334098816,591.5593662261963,40,58.48054339429539,2000.0,10.33836560043101,40,140.36559581756592,621.8010663986206,40,58.480543394303226,2000.0,10.338365600437498,40,113.54236888885498,630.4594774246216,40,58.60756284173028,3200.0,10.363384901162096,40,5.786485433578491,215.57808113098145,40,58.48308268797272,3200.0,10.337823785765737,40,65.45083451271057,215.57884407043457
90,45,22,45,64.48106546414428,2486.0,10.808409200940346,45,906.7193207740784,934.9482765197754,45,64.48106546668984,2486.0,10.808409213629025,45,169.14387321472168,929.0716257095337,45,64.48106546409852,2486.0,10.808409200975705,45,242.77166152000427,970.2338275909424,45,64.48106546432632,2486.0,10.808409200679678,45,188.69962358474731,972.6177473068237,45,64.64741700663556,4050.0,10.818214415041513,45,7.839452266693115,315.7778625488281,45,64.48395846825234,4050.0,10.80762138023288,45,112.40577030181885,315.77819442749023
100,50,25,50,75.08882784592046,3125.0,11.787032337126119,50,1816.7961864471436,1393.461519241333,50,75.0888278527188,3125.0,11.787032338799346,50,273.2134244441986,1381.3975591659546,50,75.0888278445673,3125.0,11.787032329609486,50,541.9641969203949,1434.9829711914062,50,75.0888278462653,3125.0,11.787032335290679,50,295.50924158096313,1438.5871601104736,50,75.28975580055071,5000.0,11.805381093394429,50,9.435949563980103,439.46918392181396,50,75.09200333481814,5000.0,11.788338746019,50,120.97706532478333,439.46989345550537
