m,n,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,GRB_P1_H_norm_0,GRB_P1_H_norm_1,GRB_P1_time,GRB_P1_Sym_H_norm_0,GRB_P1_Sym_H_norm_1,GRB_P1_Sym_time
150,75,12,25,2650,122.81624625743353,2613,49.614947616564585,133,15.559128642391501,61.7389434,133,15.559128642387703,41.5333822
150,75,12,25,2623,111.57600697796849,2571,45.74631887539824,113,14.614614331616078,49.3450458,113,14.614614337838656,34.3013721
150,75,12,25,2500,110.2585316563025,2421,43.108931237422055,90,13.121214401115806,32.9433817,90,13.121213540137216,108.8264443
150,75,12,25,2663,118.90914644655774,2624,46.92985178271937,123,13.31252333702329,23.4737348,123,13.312523337023126,17.6717749
150,75,27,10,1092,163.8350005771391,1082,55.68646191609739,262,17.48300794112573,3.3228015,262,17.483008498986184,2.8028547
150,75,27,10,1105,165.28184631854754,1094,56.46963246119244,117,17.987890927699485,4.1656152,117,17.987891191137397,4.5649978
150,75,27,10,1123,155.06378092601975,1098,53.25404749593799,168,15.869036100295014,8.4997277,168,15.86903550370034,5.7269952
150,75,27,10,1084,158.91518325238243,1079,52.34839912802494,132,15.129953458679237,4.5014259,132,15.129953321235835,3.2844793
150,75,27,10,1046,147.37306496873654,1012,49.686432508585725,209,14.891837193886323,7.8614042,209,14.891836919154334,4.9812202
150,75,27,10,1071,146.1722524939387,1048,49.329583162954464,124,15.13836323953264,3.5219749,124,15.138363431335536,3.2436909
150,75,27,10,1093,150.91814402391924,1076,50.59875507580839,159,15.254976035822887,2.4751942,159,15.254976921546428,2.3887678
150,75,27,10,1069,147.4961060611436,1050,50.46042555419619,131,14.57535527227214,3.2554888,131,14.605118558503818,3.0037988
150,75,27,10,1087,161.1648213991856,1075,55.34246591789164,177,16.546433545450093,3.2866703,175,16.546431386934824,2.4769898
150,75,27,10,1072,165.10185568741412,1068,55.70399758711056,164,15.130590823040508,4.0996512,164,15.130591208543661,6.0354187
150,75,27,25,2673,218.33123128658974,2611,72.94346950418867,524,19.409642186873842,69.0028483,524,19.40964117820317,37.4749544
150,75,27,25,2624,215.82819633217022,2595,75.03737904196551,455,18.453101585383543,55.079991,457,18.45310151043222,30.5257522
150,75,27,25,2696,198.73754890530745,2680,65.53961282700348,394,20.609653158117936,61.3794233,394,20.60964737189959,33.3099612
150,75,27,25,2587,223.27642289402246,2529,77.8233874929746,415,18.826598325470723,71.3019892,409,18.82659758790315,30.0903838
150,75,27,25,2658,205.78416763969395,2621,68.88105886521873,519,19.850212166185226,87.8015599,519,19.850212338104345,31.6790219
150,75,27,25,2678,203.55671133073938,2634,69.57483341878621,396,21.13017132664959,49.7164738,396,21.130171329964277,31.8791393
150,75,27,25,2636,215.39545654050255,2589,73.19825077232204,412,20.23393621053009,74.4427889,412,20.23393893757746,104.5003322
150,75,27,25,2711,211.3449311037518,2681,71.71350578122798,274,18.717150183154537,41.0130217,274,18.717150160329474,22.4575823
150,75,27,25,2630,217.0390171319257,2563,71.93766022843647,431,18.471026107588425,50.5862859,431,18.471027137315676,29.054541
150,75,27,25,2626,201.76095230225206,2582,68.07366373540525,462,17.52501792934342,42.9942289,462,17.525016852318906,31.4254306
150,75,42,10,1068,223.16740308652413,1062,69.13389984255959,228,19.715633139753965,3.9753703,220,19.71563465926288,7.6315552
150,75,42,10,1069,230.56310005966625,1067,72.03357203026245,281,20.918552469854323,3.8838291,281,20.918552600568585,3.2120706
150,75,42,10,1082,207.0953822986775,1081,65.72054182927366,271,19.35779078386537,2.7959415,271,19.357790783944736,3.1636054
150,75,42,10,1101,216.3046337879405,1101,66.87029818734847,161,18.575200989471664,2.7696416,161,18.575200989465724,3.1734765
150,75,42,10,1097,219.7516821073435,1090,67.34848701119148,253,18.533488809279124,2.9352045,253,18.53348986993,2.4955141
150,75,42,10,1103,214.88178338801228,1098,67.11435012838743,293,19.890798046762775,8.265658,293,19.89079739857961,7.3715244
150,75,42,10,1086,219.3587520036634,1077,67.05244600704219,296,17.793421628025783,9.21693,296,17.793423576858455,6.9189155
150,75,42,10,1115,220.67268799239275,1112,68.65876814196436,240,18.52020580645825,2.2292354,239,18.52020540382635,2.2449787
150,75,42,10,1070,222.52701806209097,1067,69.11208086382801,374,18.31885515231239,5.3051582,374,18.31885314351877,3.2223735
150,75,42,10,1054,214.15215349820562,1048,68.1295408698829,152,20.18649253965311,3.1433617,152,20.186492664821465,3.3410406
150,75,42,25,2648,287.76841959094963,2619,89.80639488650479,756,23.50654378740287,113.6791882,754,23.506543891919463,29.7057796
150,75,42,25,2719,286.43721999433774,2688,89.19513554067768,772,21.284300041540835,82.9978898,774,21.28429970573697,29.1110258
150,75,42,25,2686,289.0030109781416,2660,90.02983039240192,704,23.77783785951291,90.0923141,704,23.7778358859625,190.591471
150,75,42,25,2635,313.9987720317342,2598,97.38566803124796,749,21.7664734387876,33.9346424,749,21.76647510017422,77.7807738
150,75,42,25,2729,313.30693529125926,2727,98.67392974609493,713,23.096229136601245,572.0257854,715,23.09622260986442,29.0651949
150,75,42,25,2653,307.2723837724281,2627,96.9351368352356,896,23.496621630129276,123.4872515,896,23.496624120477186,34.5448162
150,75,42,25,2663,305.28924836801707,2641,96.2669440347021,752,24.295610876759078,73.5675077,752,24.295613288208735,24.1822596
150,75,42,25,2721,286.98873660452205,2698,91.17594037438066,776,24.204354009257443,156.6781729,776,24.204353973768505,434.3987697
150,75,42,25,2689,301.2115150718947,2656,93.31430226661936,1046,22.56781538394558,72.0596886,1046,22.56781548815341,48.4262031
150,75,42,25,2630,257.0672358246065,2545,78.4967149877663,712,19.255250847413162,53.9290337,710,19.255256552887897,28.1711564
