m,n,r,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,DRS_H_norm_0,DRS_H_norm_1,DRS_time,DRS_k,A2DRS_Basic_H_norm_0,A2DRS_Basic_H_norm_1,A2DRS_Basic_time,A2DRS_Basic_k,A2DRS_Boyd_H_norm_0,A2DRS_Boyd_H_norm_1,A2DRS_Boyd_time,A2DRS_Boyd_k,A2DRS_TR_H_norm_0,A2DRS_TR_H_norm_1,A2DRS_TR_time,A2DRS_TR_k
100,50,25,4763,232.10890390071404,4758,223.0573221337084,3732,194.275280178978,3.649831,5394,3732,194.27528581464938,11.4324331,5249,3732,194.27528555805532,11.108314,5242,3734,194.27528014709162,12.5963858,4071
200,100,50,18805,614.1511212517044,18818,609.1346112964623,14941,539.7044916840127,128.3647952,9105,14940,539.7044922900867,244.2809651,8774,14940,539.7044943000648,255.5427638,8781,14939,539.7044785794299,219.4585361,6240
300,150,75,42113,989.3233144911693,42162,1003.0002487815083,33761,868.1899727915121,211.5021834,10539,33765,868.1899721600404,516.1786633,10902,33760,868.1899727396798,558.8130296,10917,33758,868.1899538461779,503.7353613,8130
400,200,100,75397,1561.7790360501172,75400,1528.7476328586056,64277,1339.8939012465905,366.2778638,12706,64276,1339.8939030326915,827.6078116,12730,64281,1339.8939005565328,926.7248418,12682,64263,1339.8938703526005,931.1248592,10147
500,250,125,117182,2078.647228115255,117298,2122.966363456425,100815,1870.633231671868,504.6464283,13631,100815,1870.6332295730665,1298.8991491,13753,100804,1870.6332299156707,1501.5537748,13675,100822,1870.6331924433207,1662.9052491,11178
