m,n,r,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,ADMM_H_norm_0,ADMM_H_norm_1,ADMM_time,ADMM_GAB_H_norm_0,ADMM_GAB_H_norm_1,ADMM_GAB_time
100,50,25,4763,232.10890390071404,4758,223.0573221337084,3783,194.27732423980498,2.7500734,3734,194.2753416546832,28.6850169
200,100,50,18805,614.1511212517044,18818,609.1346112964623,14992,539.7102343523609,23.611687,14936,539.7046119500731,541.6999727
300,150,75,42113,989.3233144911693,42162,1003.0002487815083,34070,868.2074009450042,38.9975971,33756,868.1901815711883,1419.5386799
400,200,100,75397,1561.7790360501172,75400,1528.7476328586056,64566,1339.9235605351334,56.7123311,64258,1339.894213268016,2218.2699101
500,250,125,117182,2078.647228115255,117298,2122.966363456425,101536,1870.684916915112,70.4952477,100825,1870.6335873998469,3654.092319
