m,r,1_norm_PN_||H||_1,1_norm_PN_||H||_0,1_norm_PN_r(H),1_norm_PN_||AHA - A||_F,1_norm_PN_||HAH - H||_F,1_norm_PN_||(HA)^T - HA||_F,1_norm_PN_||AHb - b||_1,1_norm_PN_|lambda^T(AHb - b)|,1_norm_PN_Computational_Time(s),1_norm_PN_Memory_Used(MiB),1_norm_P1_P4_||H||_1,1_norm_P1_P4_||H||_0,1_norm_P1_P4_r(H),1_norm_P1_P4_||AHA - A||_F,1_norm_P1_P4_||HAH - H||_F,1_norm_P1_P4_||(HA)^T - HA||_F,1_norm_P1_P4_||AHb - b||_1,1_norm_P1_P4_|lambda^T(AHb - b)|,1_norm_P1_P4_Computational_Time(s),1_norm_P1_P4_Memory_Used(MiB),1_norm_MSN_||H||_1,1_norm_MSN_||H||_0,1_norm_MSN_r(H),1_norm_MSN_||AHA - A||_F,1_norm_MSN_||HAH - H||_F,1_norm_MSN_||(HA)^T - HA||_F,1_norm_MSN_||AHb - b||_1,1_norm_MSN_|lambda^T(AHb - b)|,1_norm_MSN_Computational_Time(s),1_norm_MSN_Memory_Used(MiB)
20,10,1.2660013385962796,10.0,1,5.7800273184207525,1.8518528578762737e-16,1.6887211675351985,1.3322676295501878e-14,1.3715251402089372e-15,0.7587215900421143,4.735544204711914,28.332345930325403,200.0,20,1.596057906685748e-13,0.9675497818511941,3.066987699845552e-13,3.206324095117452e-13,1.765216161024797e-14,2.955677032470703,15.637945175170898,28.332345930325925,200.0,20,1.2148245650860301e-14,0.9675497818512419,8.039437875918535e-15,7.105427357601002e-15,4.628140683894957e-16,0.7636528015136719,12.19226360321045
40,20,1.5203768834568752,20.0,1,13.033733538245887,6.5851069811757e-17,1.9419903523346709,8.171241461241152e-14,1.106559427987443e-14,4.849644899368286,32.283812522888184,58.96832944357985,800.0,40,2.0471784307759305e-12,1.0807049538159894,1.5147705808147781e-12,8.249401162174763e-12,4.0781160982788035e-13,45.37536597251892,150.62823104858398,58.96832944357993,800.0,40,6.07798580954634e-14,1.080704953815955,3.3161943674648284e-14,9.237055564881302e-14,1.547444036051857e-14,5.108667373657227,62.51685428619385
60,30,1.613425909704155,30.0,1,20.74456939660146,6.51236483792082e-17,2.3217218557218677,2.504663143554353e-13,7.802968569289139e-14,14.818597555160522,109.30704689025879,83.73504012847366,1800.0,60,9.178600548460518e-12,1.0717414048677403,9.528859608151754e-12,5.4708237939848914e-11,4.4091791172003746e-13,353.7499330043793,657.2010297775269,83.7350401284734,1800.0,60,1.5268940805676845e-12,1.0717414048670824,4.52201178022626e-13,5.03774799653911e-12,9.79048958353134e-14,16.348709106445312,177.18011569976807
