m,n,r,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,ADMM_H_norm_0,ADMM_H_norm_1,ADMM_time,ADMM_GAB_H_norm_0,ADMM_GAB_H_norm_1,ADMM_GAB_time
100,50,25,4763,232.10890390071404,4758,223.0573221337084,3783,194.27732423980498,2.3959073,3801,194.27759043785792,2.1670848
200,100,50,18805,614.1511212517044,18818,609.1346112964623,14992,539.7102343523609,24.6166442,15145,539.7130552724688,23.4157986
300,150,75,42113,989.3233144911693,42162,1003.0002487815083,34070,868.2074009450042,39.6949284,34336,868.2129122690147,41.5658407
400,200,100,75397,1561.7790360501172,75400,1528.7476328586056,64566,1339.9235605351334,56.3390397,65566,1339.9405629179314,53.0048698
500,250,125,117182,2078.647228115255,117298,2122.966363456425,101536,1870.684916915112,70.8875832,102954,1870.7068445867737,69.6246092
