m,n,r,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,DRS_H_norm_0,DRS_H_norm_1,DRS_time
100,50,25,4763,232.10890390071404,4758,223.0573221337084,3718,194.27519968232323,0.6117621
200,100,50,18805,614.1511212517044,18818,609.1346112964623,14900,539.7042442200935,9.9152997
300,150,75,42113,989.3233144911693,42162,1003.0002487815083,33342,868.182898091215,14.339288
400,200,100,75397,1561.7790360501172,75400,1528.7476328586056,63498,1339.8830819832735,16.3319331
500,250,125,117182,2078.647228115255,117298,2122.966363456425,99419,1870.6097494833284,24.5972676
