m,n,r,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,ADMM_H_norm_0,ADMM_H_norm_1,ADMM_time,ADMM_GAB_H_norm_0,ADMM_GAB_H_norm_1,ADMM_GAB_time
100,50,25,4763,232.10890390071404,4758,223.0573221337084,3733,194.27535779363893,27.8501661,3734,194.2753416546832,32.0921021
200,100,50,18805,614.1511212517044,18818,609.1346112964623,14937,539.7046135165104,341.7331935,14936,539.7046119500731,541.9891101
300,150,75,42113,989.3233144911693,42162,1003.0002487815083,33759,868.1901780113209,810.3505825,33756,868.1901815711883,1384.7219174
400,200,100,75397,1561.7790360501172,75400,1528.7476328586056,64260,1339.894219963882,1278.7377662,64258,1339.894213268016,2184.3009817
500,250,125,117182,2078.647228115255,117298,2122.966363456425,100818,1870.633599737419,2166.1864544,100825,1870.6335873998469,3622.0486886
