m,n,r,||H||_1,||H||_0,r(H),||AHA - A||_F,||HAH - H||_F,||(AH)^T - AH||_F,||A^TAH - AT||_F,Computational_Time(s),||H||_1,||H||_0,r(H),||AHA - A||_F,||HAH - H||_F,||(AH)^T - AH||_F,||A^TAH - AT||_F,Computational_Time(s)
50,25,12,32.26438949919196,600.0,25,6.074890280510293e-14,0.8395938583379771,2.463600183287116e-14,5.2891237786088754e-14,1.1868693828582764,32.26438949918736,600.0,25,1.0841563659039797e-12,0.8395938583399148,3.724115538872147e-11,1.475595224082124e-10,8.01587200164795
60,30,15,40.67689166903868,900.0,30,6.143992304383014e-14,0.8433581519974804,2.6799182182858837e-14,5.69579101545366e-14,2.175321102142334,40.67689166903894,900.0,30,8.609483502135014e-13,0.8433581519975532,8.881156707897367e-13,4.064320011715042e-12,43.48126792907715
70,35,17,46.26152517197252,1190.0,35,1.207489394514566e-13,0.8387192876184119,3.476334503768754e-14,7.875653022878451e-14,3.8211429119110107,46.26152517195999,1190.0,35,2.1793062849006057e-11,0.8387192876177038,1.5683801543444264e-11,1.0576134626708322e-10,89.2492048740387
80,40,20,54.82510747728131,1600.0,40,2.568170905575366e-12,0.874354650146805,1.1130075351690318e-12,2.56835072656505e-12,5.907901287078857,54.825107477277186,1600.0,40,3.793030179002634e-12,0.8743546501466474,2.8763799599698672e-12,1.817223137438521e-11,199.93035435676575
90,45,22,60.823281594090545,1980.0,45,2.2179673984717947e-13,0.8941361852261699,7.683794331338956e-14,1.8786499539255812e-13,9.459279537200928,60.82328159409139,1980.0,45,2.40683023953836e-11,0.8941361852254919,1.6008685238862947e-11,9.008335043457373e-11,343.7252597808838
100,50,25,70.05086579165344,2500.0,50,3.8731178962525147e-13,0.9116740901727752,1.3131914476033657e-13,3.139568024495029e-13,13.880299091339111,70.05086579165626,2500.0,50,3.4703252956642633e-12,0.9116740901743073,5.824135156992599e-11,2.88649832959585e-10,775.304249048233
