m,n,r,1_norm_P1_P3_||H||_1,1_norm_P1_P3_||H||_0,1_norm_P1_P3_r(H),1_norm_P1_P3_||AHA - A||_F,1_norm_P1_P3_||HAH - H||_F,1_norm_P1_P3_||(AH)^T - AH||_F,1_norm_P1_P3_||A^TAH - AT||_F,1_norm_P1_P3_Computational_Time(s),1_norm_P1_P3_Memory_Used(MiB),1_norm_PLS_||H||_1,1_norm_PLS_||H||_0,1_norm_PLS_r(H),1_norm_PLS_||AHA - A||_F,1_norm_PLS_||HAH - H||_F,1_norm_PLS_||(AH)^T - AH||_F,1_norm_PLS_||A^TAH - AT||_F,1_norm_PLS_Computational_Time(s),1_norm_PLS_Memory_Used(MiB)
50,25,12,32.44059149911499,600.0,25,1.1068280229835771e-12,0.8402725769710893,1.2823577808841524e-12,5.486422609838733e-12,24.83238196372986,77.4310712814331,32.440591499114674,600.0,25,4.0336703795514185e-14,0.8402725769711107,2.0369943444702602e-14,3.992694592053214e-14,16.83490300178528,83.8299560546875
60,30,15,40.796523912554285,900.0,30,4.381153244874789e-11,0.8553632623718241,2.6309594199908457e-11,1.3338272157068938e-10,68.6905746459961,165.74246311187744,40.796523912488155,900.0,30,6.549158652633553e-14,0.8553632623702889,3.2178758225364634e-14,6.646113247386095e-14,31.272820234298706,176.71251678466797
70,35,17,46.60438200085929,1190.0,35,4.348338755025857e-12,0.8732705797873541,3.712137741195134e-12,2.2589513014485357e-11,146.6815915107727,308.6179313659668,46.60438200086633,1190.0,35,4.64057678344642e-13,0.8732705797875832,2.0838741271120834e-13,4.464465449581176e-13,54.43416404724121,312.54809761047363
80,40,20,56.00671264108151,1600.0,40,9.950723401811013e-12,0.9245897554458001,8.853516345937848e-12,4.6614929950608946e-11,299.8488175868988,514.2506370544434,56.00671264108055,1600.0,40,1.29075837733943e-13,0.9245897554458785,5.0964202947724926e-14,1.1572211092475215e-13,86.700026512146,520.6533527374268
90,45,22,61.56649269027658,1980.0,45,2.6447470678708953e-11,0.8949323469347892,1.6958195736329567e-11,1.3271538769514458e-10,478.4693419933319,812.5205564498901,61.566492690298084,1980.0,45,1.5769129679345414e-12,0.8949323469354766,6.330551414339722e-13,1.546990870716738e-12,133.52041172981262,819.1984262466431
100,50,25,70.27311426398059,2500.0,50,1.8885838243145315e-11,0.8925370867948017,2.9572524018009367e-10,1.5984119777641844e-09,977.4126057624817,1215.5762825012207,70.27311426399862,2500.0,50,2.3837970049691347e-13,0.8925370867875174,9.416550713715956e-14,2.375092350978404e-13,193.7100088596344,1219.235987663269
