m,n,r,1_norm_PLS_||H||_1,1_norm_PLS_||H||_0,1_norm_PLS_r(H),1_norm_PLS_||AHA - A||_F,1_norm_PLS_||HAH - H||_F,1_norm_PLS_||(AH)^T - AH||_F,1_norm_PLS_||A^TAH - AT||_F,1_norm_PLS_Computational_Time(s),1_norm_PLS_Memory_Used(MiB),1_norm_P1_P3_||H||_1,1_norm_P1_P3_||H||_0,1_norm_P1_P3_r(H),1_norm_P1_P3_||AHA - A||_F,1_norm_P1_P3_||HAH - H||_F,1_norm_P1_P3_||(AH)^T - AH||_F,1_norm_P1_P3_||A^TAH - AT||_F,1_norm_P1_P3_Computational_Time(s),1_norm_P1_P3_Memory_Used(MiB)
50,25,12,32.481781117399834,600.0,25,2.901587644069545e-14,0.8548963495952719,1.5585729564121144e-14,2.955663653437544e-14,16.75049114227295,76.06452560424805,32.48178111739868,600.0,25,1.9165194962834017e-12,0.8548963495952443,2.368431381506578e-12,1.0929424124180145e-11,26.308172702789307,85.16492557525635
60,30,15,40.80398931130086,900.0,30,7.302945613073911e-14,0.8705569304598669,3.283703900104093e-14,7.145414806947204e-14,31.366809129714966,165.6187505722046,40.80398931132339,900.0,30,1.3284933971556331e-11,0.8705569304605574,1.0369248095667723e-11,4.5042003191671894e-11,67.99174809455872,176.90629386901855
70,35,17,46.41084843039981,1190.0,35,9.719172322860145e-14,0.8710959375676282,4.2651783806525894e-14,9.57293274197283e-14,55.28808832168579,297.4272184371948,46.41084843026661,1190.0,35,1.286210153154025e-10,0.8710959375651665,7.852769857497326e-11,4.6481947322422525e-10,146.43056058883667,323.7890100479126
80,40,20,55.56381306091273,1600.0,40,1.1947176084732957e-13,0.8883422032267924,5.655271498066419e-14,1.3013228866980505e-13,88.98524475097656,500.89677143096924,55.56381306098904,1600.0,40,4.680472965531312e-11,0.8883422032271318,2.7754025016908623e-11,2.1302671471522354e-10,298.79980850219727,534.0571479797363
90,45,22,60.51276199998328,1980.0,45,1.7294592590195796e-12,0.899504552596678,6.703791803419323e-13,1.53802779773062e-12,135.5402910709381,794.1871404647827,60.512762651993,1980.0,45,4.035396739439763e-12,0.8995045456257088,2.5860727351816737e-12,1.7667540323380115e-11,460.86738419532776,837.5782518386841
100,50,25,69.46632606281258,2500.0,50,3.655902068524086e-12,0.9006748242100917,1.4052423803959695e-12,4.184460159366351e-12,194.80895948410034,1188.3532094955444,69.46632606279377,2500.0,50,1.6917187067307912e-11,0.9006748242093315,9.27907909518647e-12,6.578148863103145e-11,883.6329827308655,1246.5071077346802
