m,n,r,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,DRS_H_norm_0,DRS_H_norm_1,DRS_time
100,50,25,4763,232.10890390071404,4758,223.0573221337084,3735,194.27529097194807,5.4938302
200,100,50,18805,614.1511212517044,18818,609.1346112964623,14939,539.704498440117,204.2859062
300,150,75,42113,989.3233144911693,42162,1003.0002487815083,33761,868.1900012762302,374.5249843
400,200,100,75397,1561.7790360501172,75400,1528.7476328586056,64274,1339.893940025185,670.4896642
500,250,125,117182,2078.647228115255,117298,2122.966363456425,100812,1870.6332800881255,833.7742349
