method,H_div_bound_norm_0_min,H_div_bound_norm_0_mean,H_div_bound_norm_0_max,H_div_AMP_norm_0_min,H_div_AMP_norm_0_mean,H_div_AMP_norm_0_max,H_div_AMP_norm_1_min,H_div_AMP_norm_1_mean,H_div_AMP_norm_1_max,H_rank_ratio_min,H_rank_ratio_mean,H_rank_ratio_max,m_max
Gurobi,0.9610714285714286,0.9756565079365078,0.9889285714285714,0.4464167219641672,0.45251683436062495,0.46107200866269626,0.8644217214814626,0.885356978617462,0.9019967199602756,3.85,3.909555555555556,3.96,120
ADMM,0.9698285714285714,1.0037312858242464,1.0310714285714286,0.4495774946359037,0.4729385556170188,0.49356756511754396,0.8644430317773606,0.883908661103825,0.9020288190947267,3.8666666666666667,3.9474966179917583,3.980952380952381,600
ADMMe,0.9574603174603175,0.9735257744823351,0.9889285714285714,0.4461338772482848,0.45439064691303327,0.46366736186976526,0.8644229400741692,0.8839976291359465,0.9019974059413338,3.85,3.930150802900802,3.977777777777778,300
DRS,0.9579541446208113,0.9742996678928518,0.9910714285714286,0.44645174962252654,0.4554132420382233,0.4650568964421182,0.8644226371533884,0.8840865179676182,0.90199763673308,3.85,3.933478465978464,3.98,340
DRS_Boyd,0.9587690314220927,0.9775336752661218,1.0017857142857143,0.4484384519615374,0.4605416524312997,0.4696176098045257,0.8644380796141429,0.8838521293402426,0.9020151305500124,3.8666666666666667,3.9478995234467367,3.981818181818182,600
DRS_FP,0.9591836734693877,0.9790610099449076,1.008888888888889,0.4508754734973908,0.4612537468814135,0.469905172708911,0.8644459877179222,0.8838643987718623,0.9020194157204254,3.85,3.94802490672304,3.981818181818182,600
