m,n,r,DRS_H_norm_0_mean,DRS_H_norm_1_mean,DRS_H_rank_mean,DRS_time_mean
100,100,25,4296.4,234.12505659564994,98.0,24.66132954
120,120,30,6198.8,305.3098341558851,118.0,25.02538934
140,140,35,8425.2,406.19268776910286,137.0,32.771541660000004
160,160,40,10927.2,445.76813602753174,157.4,34.871881439999996
180,180,45,13860.2,522.5650184813096,176.8,42.83853724000001
200,200,50,17123.4,615.2424550798839,197.0,45.25703463999999
220,220,55,20698.4,691.0665731936404,217.0,49.640818180000004
240,240,60,24513.0,764.1501404838234,236.6,56.3666924
260,260,65,28786.6,857.8478287983351,256.8,53.833256840000004
280,280,70,33322.8,945.9494970649652,275.8,64.7370632
300,300,75,38353.8,1063.422082470354,296.4,63.42128989999999
320,320,80,43778.0,1155.4364189399228,316.6,72.03935838
340,340,85,49389.0,1236.007386184779,335.6,82.07777764
360,360,90,55483.6,1400.1581356446907,356.4,93.85640026000002
380,380,95,61732.4,1452.7695679356377,376.8,138.14489414000002
400,400,100,68302.6,1574.2995152425642,396.0,152.34775712
420,420,105,75048.8,1639.9491967484923,415.6,177.78345548
440,440,110,82794.2,1781.73599015638,436.6,187.53189867999998
460,460,115,90498.4,1877.5143506402892,456.4,207.85829909999998
480,480,120,98422.0,2046.8211056442863,475.4,223.43517796
500,500,125,106508.6,2090.0677168339225,493.6,247.12229583999996
520,520,130,115648.2,2229.557918394377,515.2,254.15605616
540,540,135,124595.4,2314.2978105236457,535.4,278.16335642
560,560,140,134001.2,2487.2496432905705,554.8,290.78815678
580,580,145,143108.8,2609.67090871663,573.6,322.9803977
600,600,150,153056.2,2711.4876850831665,594.8,340.00632494
60,60,15,1569.2,118.09695021219848,58.6,1.3058119
80,80,20,2763.8,175.55914154241924,78.4,2.3216319
