m,r,d,H_div_mr_norm_0_mean,H_div_AMP_norm_0_mean,H_div_AMP_norm_1_mean,H_rank_ratio_mean,time_mean
60,15,100,0.9859047619047618,0.4556371214700783,0.8801136813691987,3.9066666666666663,1.0123057599999998
80,20,100,0.9810714285714285,0.45393542557326755,0.8876013786734662,3.91,1.6501021000000002
100,25,100,0.9769142857142856,0.4558249850228798,0.8883988232575399,3.9200000000000004,15.37289884
120,30,100,0.9802222222222223,0.4558596762298589,0.8877834610356524,3.9333333333333327,14.723638959999999
140,35,100,0.9775393586005829,0.4529269307143471,0.87922310154984,3.9200000000000004,18.02218786
160,40,100,0.9739821428571428,0.4541152387179664,0.8836389293414099,3.9300000000000006,17.076670659999998
180,45,100,0.9755061728395061,0.4574191164631037,0.8824268373268745,3.9288888888888893,20.50581878
200,50,100,0.9769485714285715,0.45749309818215406,0.8812272069265731,3.944,23.357217979999998
220,55,100,0.976198347107438,0.45861433615097996,0.8862369428461996,3.9454545454545453,22.638109739999997
240,60,100,0.9716825396825397,0.45623255780612915,0.886077576543814,3.943333333333334,23.47377044
260,65,100,0.9724970414201184,0.4553905513745762,0.8829832593690421,3.953846153846154,23.0305389
280,70,100,0.9710553935860059,0.4565494370016984,0.882441283505561,3.94,27.454738459999998
300,75,100,0.9732825396825395,0.4581649707370995,0.8849343748026332,3.9519999999999995,29.23393426
320,80,100,0.9770937500000001,0.4614281308252453,0.8843372923678678,3.9575000000000005,32.49393016
340,85,100,0.9768699950568462,0.4618538840180492,0.8828345336036433,3.948235294117647,41.010841719999995
360,90,100,0.9784938271604938,0.4619795496042478,0.882339412553466,3.96,59.93194708
380,95,100,0.9776240601503758,0.46362384976041426,0.885470413705472,3.9642105263157887,102.38754524000001
400,100,100,0.9764942857142858,0.46276871944785,0.8838349213217942,3.9619999999999997,115.55275102
420,105,100,0.9730456754130223,0.4623233258083874,0.8833549690207965,3.9580952380952383,135.11573493999998
440,110,100,0.97827626918536,0.46189468965694747,0.8824757993581727,3.9672727272727273,147.76313624
460,115,100,0.9780934377531733,0.4635246666883431,0.8824076987107077,3.9686956521739134,159.92601252
480,120,100,0.9771071428571428,0.46355048330293613,0.8846900153500739,3.961666666666667,179.14994886000002
500,125,100,0.9750710857142858,0.4644292963004778,0.884662527093852,3.9488,189.51124384
520,130,100,0.9786491969568892,0.4662062680687121,0.8838694174914499,3.964615384615385,202.50844696
540,135,100,0.9778640015677051,0.46678708096359045,0.885204238399519,3.967407407407407,220.67178996
560,140,100,0.9778702623906707,0.4647229602998837,0.8817604394492224,3.9628571428571435,239.57997916
580,145,100,0.973604212671989,0.46418700637915916,0.883748183658826,3.955862068965517,257.37580324
600,150,100,0.9733244444444444,0.46454815626917406,0.8832685855345478,3.9653333333333336,266.78991995999996
