m,r,d,H_div_mr_norm_0_mean,H_div_AMP_norm_0_mean,H_div_AMP_norm_1_mean,H_rank_ratio_mean,time_mean
60,15,100,1.005206349206349,0.4645665098095198,0.8801273911193457,3.893333333333333,1.1476953
80,20,100,1.0030000000000001,0.4640918361972334,0.8876179543006728,3.9199999999999995,1.67623952
100,25,100,0.9952457142857144,0.46441331627582166,0.8884165472729307,3.9200000000000004,23.25216126
120,30,100,0.9958095238095238,0.4631146136642633,0.8878050562552477,3.9333333333333327,25.705810859999996
140,35,100,0.9934693877551022,0.46031186771857496,0.8792481265559466,3.9200000000000004,26.47701958
160,40,100,0.9899285714285714,0.46155331473810773,0.8836688087172517,3.9300000000000006,30.352425259999997
180,45,100,0.9940176366843033,0.46610301400047377,0.8824635871823681,3.924444444444444,32.18017288
200,50,100,0.9930857142857142,0.46505307518562733,0.8812675798139848,3.936,33.83914704
220,55,100,0.9997260920897284,0.46969415916433566,0.8862861943686676,3.9454545454545453,37.70564324000001
240,60,100,0.9946031746031746,0.46699057725418014,0.8861315457404555,3.943333333333334,40.987741060000005
260,65,100,0.9951445477599323,0.4660071721038987,0.8830405908959473,3.956923076923077,42.38550666
280,70,100,0.9971545189504374,0.4688244104273765,0.8825056018584594,3.9457142857142857,44.08589574
300,75,100,0.9980495238095239,0.4698437753341122,0.8850003466311668,3.949333333333333,46.64177992
320,80,100,1.0040267857142857,0.4741504493854124,0.8844108657123749,3.9575000000000005,50.95219638
340,85,100,1.0047414730598123,0.4750408530663533,0.8829139502933951,3.945882352941177,53.45974466
360,90,100,1.0031111111111113,0.47361382423010967,0.8824147404023737,3.9577777777777783,59.27842189999999
380,95,100,1.0094056193114365,0.4787160040445837,0.8855593590874771,3.966315789473684,95.172192
400,100,100,1.0088800000000002,0.4781356893742511,0.8839286733000102,3.96,102.1997318
420,105,100,1.0041878846776806,0.47713515920892313,0.8834528291192301,3.961904761904762,127.71648384
440,110,100,1.007258559622196,0.4755825347026906,0.8825752240527589,3.9672727272727273,146.81824150000003
460,115,100,1.0116640561706725,0.4794479021833631,0.8825151582398686,3.9686956521739134,161.31726682
480,120,100,1.011236111111111,0.4797423704575682,0.8848006979630126,3.9633333333333334,172.35514555999998
500,125,100,1.0148077714285715,0.48336775864067255,0.884784503376267,3.9504000000000006,202.21055512
520,130,100,1.014857142857143,0.48346018933576324,0.8839914683709095,3.9630769230769234,215.81578706
540,135,100,1.016219478737997,0.48511258319270123,0.8853343509586636,3.9644444444444447,236.80396962
560,140,100,1.0133002915451894,0.48157958018448604,0.8818868336552823,3.9628571428571435,255.57588768
580,145,100,1.0123376932223542,0.482656947358483,0.8838826807433117,3.9572413793103443,278.9623013
600,150,100,1.01400126984127,0.4839700700376319,0.8834118449197298,3.9653333333333336,287.4991206
