m,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,DRS_H_div_AMP_norm_0_mean,DRS_H_div_AMP_norm_1_mean,DRS_H_rank_ratio_mean,DRS_time_mean
100,25,100,9467,267.08678553282834,9481,275.03961456595357,0.42725659645609254,0.7439988910227031,0.0,12.313520133333334
100,25,10,973,72.89755307088436,962,72.59281734785465,0.3693377456412706,0.8382970757597094,0.0,34.4108124
100,25,25,2319,101.17745010280981,2333,111.82023282909434,0.45469253159710493,0.8084394848617027,0.0,18.002366433333336
120,30,100,13593,346.03137480623616,13611,369.66127990958455,0.4509066729036724,0.7635579566680034,0.0,12.822082433333334
120,30,10,1355,99.80873754755082,1358,105.06571721122509,0.33546904794482674,0.8122987477370517,0.0,26.555571233333335
120,30,25,3338,139.10693670101531,3340,145.204467446941,0.3923866357693564,0.761127161455153,0.0,20.081631733333335
140,35,100,18507,463.3900999392818,18490,443.1598124422209,0.5228990940637347,0.7715693614443855,0.0,13.356052499999999
140,35,10,1789,121.62462086768784,1778,113.01477741741061,0.3950291605255843,0.8063071027012808,0.0,18.154664466666667
140,35,25,4448,179.90295059911824,4476,180.47515218375497,0.3693171954649493,0.7904351226854621,0.0,22.469019000000003
160,40,100,24011,535.63656431811,23980,537.2729576100203,0.4916063427109874,0.7520067010910504,0.0,12.758665233333332
160,40,10,2353,151.02613690601257,2375,141.9317346546718,0.3859838852689513,0.8175665090458205,0.0,19.402028733333335
160,40,25,5750,169.93998218580367,5840,199.04207994638045,0.3901617281828012,0.785462810507689,0.0,20.16697806666667
180,45,100,30132,572.6610644946708,30115,566.4456044505993,0.4730339694076173,0.7450193001704672,0.0,14.810561299999998
180,45,10,2881,162.88510352336996,2869,155.72201938533303,0.4102854096890686,0.8016336228919251,0.0,18.0308248
180,45,25,7397,231.19524639204784,7355,212.23288608559392,0.3823017639308553,0.7749186021494835,0.0,34.7720405
200,50,100,37174,691.8588856935366,37214,690.3573245398604,0.5031849929251991,0.7575295011865855,0.0,18.9052337
200,50,10,3757,188.97067216803165,3760,199.64421973766073,0.39716429729911323,0.7900235423086518,0.0,44.70452003333333
200,50,25,8711,214.49367556216208,8919,252.52937550034298,0.35862406841766825,0.7490744546458764,0.0,46.1223397
220,55,100,45207,845.2459092080632,45271,790.3957968310999,0.5152785283219155,0.7514315090091263,0.0,22.03481956666667
220,55,10,4333,210.66110230163576,4321,201.83980114185013,0.3580144726867882,0.7993261396602054,0.0,27.356388666666664
220,55,25,10472,278.55665533598744,10396,263.23979816589764,0.42910043406724374,0.7757913406374904,0.0,17.1230363
240,60,100,53556,837.5436745207629,53554,856.8894293269684,0.5287616829439457,0.7502924990990868,0.0,18.115504
240,60,10,5216,251.22736364170154,5152,240.49831461450253,0.388753739998785,0.7945721355785054,0.0,29.570072866666667
240,60,25,12747,356.5130215846905,12731,317.48907668817867,0.4275661119473227,0.7563264612100843,0.0,54.880621999999995
260,65,100,63202,1061.2694981906827,63159,1032.425322546576,0.5364300726226063,0.745502333611284,0.0,19.74470103333333
260,65,10,5954,246.36676605847674,5882,248.27895238925717,0.3521001992751553,0.7913038414342252,0.0,22.592124733333335
260,65,25,14668,360.01279160164796,14489,337.3547712305675,0.43939204967553486,0.766630217837638,0.0,44.621817033333336
280,70,100,72424,1005.4881019362725,72414,1119.178571922252,0.5228019064468268,0.7450354791332198,0.0,28.5380426
280,70,10,6874,259.80711384651977,6827,287.5499272267583,0.38440198679270104,0.7884205321983152,0.0,24.7810636
280,70,25,17368,416.922136252021,17356,400.5892049822008,0.4856061056767615,0.7594631520710018,0.0,48.78680936666666
300,75,100,83885,1177.9723715455184,84075,1251.0083233939445,0.5235250287440193,0.740517518074312,0.0,21.59748306666667
300,75,10,7358,272.399337837729,7350,289.655501046066,0.35745095395219995,0.7893815310527842,0.0,34.71012483333333
300,75,25,19591,426.9016627102174,19316,428.05906285899727,0.4533835385181484,0.7586646234755632,0.0,46.18584906666667
320,80,100,94697,1270.2114510877484,94738,1301.73856055408,0.5070651933606923,0.7438336456304467,0.0,23.128638566666666
320,80,10,9123,318.88378132643123,9055,302.29700824068163,0.32091376474630945,0.7761372265374241,0.0,45.67953276666666
320,80,25,22673,458.4775203441548,22593,486.5696702686795,0.4488417267482996,0.743325911680435,0.0,45.02529653333334
340,85,100,107258,1416.2013773971812,107242,1377.6760109465054,0.5367437693753248,0.7491200306543627,0.0,31.865749433333335
340,85,10,9886,356.7420283710101,9755,347.5234241832712,0.3879862195031967,0.7854756973422372,0.0,95.4520356
340,85,25,25337,492.1232470464755,25224,502.9936932681312,0.4218573278302334,0.7407559245310127,0.0,58.71825206666667
360,90,100,119311,1470.345507590164,119141,1463.8874396830295,0.5428381785862212,0.7442427748368216,0.0,33.18236423333333
360,90,10,11332,407.6105714231319,11537,397.0523406194093,0.41241264296831237,0.7891322024978886,0.0,63.51750126666667
360,90,25,26918,555.7883013188224,26757,551.2989316410209,0.4010541340309439,0.7395822229544914,0.0,59.478136
380,95,100,134356,1751.0647234973837,134721,1812.275819358076,0.5547254810168013,0.7509038105274174,0.0,76.72519586666667
380,95,10,12578,436.16377492427,12441,411.96810151791715,0.3717700407297926,0.7862401363841746,0.0,205.50124976666666
380,95,25,31358,602.591116953911,31022,608.8606826512096,0.39748865557946056,0.7537172243097733,0.0,164.54826473333333
400,100,100,148243,1766.6698156383895,147906,1813.0278618565153,0.5308981848873615,0.7443644260361113,0.0,104.90726043333332
400,100,10,14053,434.7299226049274,14175,444.0489744229568,0.4098824750845835,0.7927210525995697,0.0,181.71805413333334
400,100,25,33617,641.6789404830054,33698,655.0363437203396,0.4055804959346016,0.7409795710356266,0.0,176.8222698
