m,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,DRS_H_div_AMP_norm_0_mean,DRS_H_div_AMP_norm_1_mean,DRS_H_rank_ratio_mean,DRS_time_mean
100,25,100,9467,267.08678553282834,9481,275.03961456595357,0.4398543900985495,0.7516086773525394,0.0,12.5881463
100,25,10,973,72.89755307088436,962,72.59281734785465,0.3814278820444253,0.8112529385020362,0.0,12.582051333333334
100,25,25,2319,101.17745010280981,2333,111.82023282909434,0.34636714453905637,0.792935325059316,0.0,18.3548097
120,30,100,13593,346.03137480623616,13611,369.66127990958455,0.4779186156891357,0.76606704986702,0.0,11.958822166666666
120,30,10,1355,99.80873754755082,1358,105.06571721122509,0.39837927035315307,0.8219758212234697,0.0,13.027497566666668
120,30,25,3338,139.10693670101531,3340,145.204467446941,0.46176759534438844,0.7826475198495246,0.0,16.471947333333333
140,35,100,18507,463.3900999392818,18490,443.1598124422209,0.49344558759204943,0.7586088624884354,0.0,11.035878033333333
140,35,10,1789,121.62462086768784,1778,113.01477741741061,0.44530342748685997,0.8240379350151756,0.0,18.3295626
140,35,25,4448,179.90295059911824,4476,180.47515218375497,0.40282715722058837,0.7706326961207625,0.0,20.959065166666665
160,40,100,24011,535.63656431811,23980,537.2729576100203,0.49050386294570264,0.7638885980143355,0.0,13.226583233333335
160,40,10,2353,151.02613690601257,2375,141.9317346546718,0.3812504636525274,0.7993352895657803,0.0,13.834327633333332
160,40,25,5750,169.93998218580367,5840,199.04207994638045,0.4630158475243335,0.772098048945519,0.0,28.603427800000002
180,45,100,30132,572.6610644946708,30115,566.4456044505993,0.5135649867781237,0.7638777284060806,0.0,16.6970782
180,45,10,2881,162.88510352336996,2869,155.72201938533303,0.40345578533429904,0.8090192388116685,0.0,32.25593223333333
180,45,25,7397,231.19524639204784,7355,212.23288608559392,0.4323434981098065,0.7742577269920652,0.0,22.2183783
200,50,100,37174,691.8588856935366,37214,690.3573245398604,0.4987063916540045,0.7560414648372875,0.0,19.5044455
200,50,10,3757,188.97067216803165,3760,199.64421973766073,0.3583969745365249,0.7968738474634661,0.0,11.676340600000001
200,50,25,8711,214.49367556216208,8919,252.52937550034298,0.3514757065493055,0.748445130227319,0.0,42.0177773
220,55,100,45207,845.2459092080632,45271,790.3957968310999,0.5019141438689657,0.7322193677282266,0.0,19.453485933333337
220,55,10,4333,210.66110230163576,4321,201.83980114185013,0.3350866469536687,0.7998732657312634,0.0,25.452972033333328
220,55,25,10472,278.55665533598744,10396,263.23979816589764,0.42806968095868886,0.7501094069287796,0.0,45.22765973333333
240,60,100,53556,837.5436745207629,53554,856.8894293269684,0.5278455028896725,0.7502972658647972,0.0,20.221964233333335
240,60,10,5216,251.22736364170154,5152,240.49831461450253,0.4452873009381273,0.8019053071142954,0.0,60.94275076666668
240,60,25,12747,356.5130215846905,12731,317.48907668817867,0.46061574039540565,0.766676904078481,0.0,35.643510066666664
