m,n,r,ADMM_H_norm_0_mean,ADMM_H_norm_1_mean,ADMM_H_rank_mean,ADMM_time_mean
500,500,125,44163.56862745098,1071.4386043228405,290.6862745098039,70.38269402745098
500,500,125,44807.48543689321,1081.9280192003646,292.66990291262135,71.71174033300971
500,500,125,45446.067307692305,1091.0258138576244,294.6057692307692,73.06162517307692
500,500,125,46063.13333333333,1100.383912821104,296.48571428571427,74.36097639333333
520,520,130,46762.556603773584,1110.5488019260094,298.5566037735849,75.75285078962264
520,520,130,47450.7476635514,1120.3849137910172,300.5981308411215,77.09103346074767
520,520,130,48126.77777777778,1131.0836018677608,302.5833333333333,78.40898163148148
520,520,130,48782.61467889908,1141.485772917815,304.5321100917431,79.7970784678899
520,520,130,49426.51818181818,1151.7214178728693,306.42727272727274,81.09219215181818
540,540,135,50136.46846846847,1161.9807570817188,308.4684684684685,82.54232415765766
540,540,135,50842.19642857143,1173.1194194959894,310.48214285714283,83.9611987517857
540,540,135,51538.83185840708,1183.8370422837986,312.4867256637168,85.40722513539824
540,540,135,52232.149122807015,1193.696103788407,314.43859649122805,86.72135492807018
540,540,135,52914.24347826087,1202.2804855081122,316.37391304347824,88.07621896000002
560,560,140,53660.43965517241,1213.6460495649837,318.4396551724138,89.54885603706897
560,560,140,54387.00854700855,1225.0853883684276,320.45299145299145,91.02110485982908
560,560,140,55094.957627118645,1236.3326462348723,322.4237288135593,92.47460312796612
560,560,140,55801.16806722689,1246.8678908800352,324.3781512605042,93.84152225294119
560,560,140,56502.183333333334,1255.8329267184554,326.30833333333334,95.23822216250001
580,580,145,57262.842975206615,1266.6205336706594,328.3388429752066,96.81488343471075
580,580,145,58014.03278688525,1278.5159453058932,330.3524590163934,98.23634105081968
580,580,145,58751.0243902439,1288.900857977697,332.3252032520325,99.6600100796748
580,580,145,59487.25,1299.95896355128,334.2741935483871,101.05371493709677
580,580,145,60201.728,1309.9995779911078,336.208,102.6017897544
600,600,150,60996.04761904762,1320.407688956544,338.26984126984127,104.14618189761906
600,600,150,61767.17322834646,1332.8477054875339,340.2992125984252,105.63411213464566
600,600,150,62523.5703125,1343.3952971875676,342.28125,107.10097763203125
600,600,150,63276.20930232558,1354.0221399919128,344.2325581395349,108.54000864573644
600,600,150,64028.78461538462,1363.9170503867608,346.15384615384613,109.96168111153845
60,60,15,63552.29770992367,1354.3954850299779,343.9541984732824,109.12998347328244
60,60,15,63082.63636363636,1345.0858330045687,341.79545454545456,108.3109720810606
60,60,15,62620.15789473684,1335.793945619752,339.6691729323308,107.50902688045113
60,60,15,62164.78358208955,1326.6461930490539,337.56716417910445,106.71431772238806
60,60,15,61715.985185185185,1317.7755569750514,335.4962962962963,105.93107367259259
80,80,20,61282.76470588235,1309.464961646536,333.6102941176471,105.16386789485294
80,80,20,60856.51824817518,1301.16971380385,331.7445255474453,104.40726351824817
80,80,20,60435.70289855073,1293.0345013460906,329.90579710144925,103.6632838557971
80,80,20,60021.10071942446,1285.0547169447736,328.1007194244604,102.93128734244604
80,80,20,59612.142857142855,1276.982104108931,326.3142857142857,102.20717146285713
