m,n,r,norm_0,norm_1,rank,time
60,60,15.0,0.4645665098095198,0.8801273911193457,3.893333333333333,1.13528026
80,80,20.0,0.4640918361972334,0.8876179543006728,3.9199999999999995,1.6618118
100,100,25.0,0.46441331627582166,0.8884165472729307,3.9200000000000004,21.22281072
120,120,30.0,0.4631146136642633,0.8878050562552477,3.9333333333333327,24.359929479999998
140,140,35.0,0.46031186771857496,0.8792481265559466,3.9200000000000004,24.929652580000003
160,160,40.0,0.46155331473810773,0.8836688087172517,3.9300000000000006,28.551452939999997
180,180,45.0,0.46610301400047377,0.8824635871823681,3.924444444444444,31.245058899999997
200,200,50.0,0.46505307518562733,0.8812675798139848,3.936,32.00227726
220,220,55.0,0.46969415916433566,0.8862861943686676,3.9454545454545453,35.31736302
240,240,60.0,0.46699057725418014,0.8861315457404555,3.943333333333334,38.156580240000004
260,260,65.0,0.4660071721038987,0.8830405908959473,3.956923076923077,39.31925238
280,280,70.0,0.4688244104273765,0.8825056018584594,3.9457142857142857,43.3541034
300,300,75.0,0.4698437753341122,0.8850003466311668,3.949333333333333,48.24968368
320,320,80.0,0.4741504493854124,0.8844108657123749,3.9575000000000005,51.36838378
340,340,85.0,0.4750408530663533,0.8829139502933951,3.945882352941177,56.56827602
360,360,90.0,0.47361382423010967,0.8824147404023737,3.9577777777777783,61.29017606
380,380,95.0,0.4787160040445837,0.8855593590874771,3.966315789473684,96.79457506
400,400,100.0,0.4781356893742511,0.8839286733000102,3.96,105.09588108
420,420,105.0,0.47713515920892313,0.8834528291192301,3.961904761904762,130.59541702
440,440,110.0,0.4755825347026906,0.8825752240527589,3.9672727272727273,147.82672154
460,460,115.0,0.4794479021833631,0.8825151582398686,3.9686956521739134,162.01054463999998
480,480,120.0,0.4797423704575682,0.8848006979630126,3.9633333333333334,176.70297871999998
500,500,125.0,0.48336775864067255,0.884784503376267,3.9504000000000006,206.61938574
520,520,130.0,0.48346018933576324,0.8839914683709095,3.9630769230769234,222.44772308
540,540,135.0,0.48511258319270123,0.8853343509586636,3.9644444444444447,241.72480874000001
560,560,140.0,0.48157958018448604,0.8818868336552823,3.9628571428571435,259.96429582
580,580,145.0,0.482656947358483,0.8838826807433117,3.9572413793103443,279.32741195999995
600,600,150.0,0.4839700700376319,0.8834118449197298,3.9653333333333336,293.95896504
