m,n,r,GRB_PLS_H_norm_0_mean,GRB_PLS_H_norm_1_mean,GRB_PLS_H_rank_mean,GRB_P1_P3_time_mean,GRB_PLS_time_mean
260,130,65,16420.0,722.7787583869818,126.2,-1.0,40.861627240000004
280,140,70,18943.8,828.1433808960923,137.2,-1.0,53.47556457999999
300,150,75,21781.0,871.7524679602175,147.2,-1.0,65.35955033999998
320,160,80,24747.0,1000.0035682767286,157.8,-1.0,86.7017693
340,170,85,27981.6,1038.2852202407162,167.8,-1.0,109.36873202000001
360,180,90,31448.2,1090.1503699901311,176.6,-1.0,130.38206122000003
380,190,95,34902.6,1207.872496073492,187.4,-1.0,170.7402004
400,200,100,38866.0,1306.4251662940906,196.8,-1.0,208.56635834
420,210,105,42868.8,1368.8362425649823,206.8,-1.0,247.46945664
440,220,110,46997.0,1431.7750656571448,216.0,-1.0,321.37488929999995
460,230,115,51251.0,1567.5701375619383,227.2,-1.0,383.65407738
480,240,120,56027.2,1635.945541400486,235.4,-1.0,502.46299918000005
500,250,125,60692.6,1743.0160391060767,245.2,-1.0,503.22567005999997
