m,n,r,GRB_PLS_H_norm_0_mean,GRB_PLS_H_norm_1_mean,GRB_PLS_H_rank_mean,GRB_P1_P3_time_mean,GRB_PLS_time_mean
1000,500,250,-1.0,-1.0,-1.0,-1.0,-1.0
520,260,130,65648.8,1806.2494823860548,257.6,-1.0,640.78541714
540,270,135,-1.0,-1.0,-1.0,-1.0,-1.0
560,280,140,-1.0,-1.0,-1.0,-1.0,-1.0
580,290,145,-1.0,-1.0,-1.0,-1.0,-1.0
600,300,150,-1.0,-1.0,-1.0,-1.0,-1.0
620,310,155,-1.0,-1.0,-1.0,-1.0,-1.0
640,320,160,-1.0,-1.0,-1.0,-1.0,-1.0
660,330,165,-1.0,-1.0,-1.0,-1.0,-1.0
680,340,170,-1.0,-1.0,-1.0,-1.0,-1.0
700,350,175,-1.0,-1.0,-1.0,-1.0,-1.0
720,360,180,-1.0,-1.0,-1.0,-1.0,-1.0
740,370,185,-1.0,-1.0,-1.0,-1.0,-1.0
760,380,190,-1.0,-1.0,-1.0,-1.0,-1.0
780,390,195,-1.0,-1.0,-1.0,-1.0,-1.0
800,400,200,-1.0,-1.0,-1.0,-1.0,-1.0
820,410,205,-1.0,-1.0,-1.0,-1.0,-1.0
840,420,210,-1.0,-1.0,-1.0,-1.0,-1.0
860,430,215,-1.0,-1.0,-1.0,-1.0,-1.0
880,440,220,-1.0,-1.0,-1.0,-1.0,-1.0
900,450,225,-1.0,-1.0,-1.0,-1.0,-1.0
920,460,230,-1.0,-1.0,-1.0,-1.0,-1.0
940,470,235,-1.0,-1.0,-1.0,-1.0,-1.0
960,480,240,-1.0,-1.0,-1.0,-1.0,-1.0
980,490,245,-1.0,-1.0,-1.0,-1.0,-1.0
