m,n,r,d,P123_A_norm_0,P123_AMP_norm_0,P123_AMP_norm_1,P123_hatAMP_norm_0,P123_hatAMP_norm_1,P123_norm_0,P123_norm_1,P123_rank,P123_time,P1_Sym_A_norm_0,P1_Sym_AMP_norm_0,P1_Sym_AMP_norm_1,P1_Sym_hatAMP_norm_0,P1_Sym_hatAMP_norm_1,P1_Sym_norm_0,P1_Sym_norm_1,P1_Sym_rank,P1_Sym_time
120,40,30.0,10,562.0,4574.0,122.01284704897175,1599.2,49.85231070735117,3430.2,117.76161971564224,30.0,5.405710458755493,562.0,4574.0,122.01284704897175,1599.2,49.85231070735117,899.6,64.63171429319428,30.0,5.401411485671997
120,40,30.0,25,1273.6,4797.2,97.05160886600311,1598.0,19.27037967738956,3599.0,106.45468019253026,30.0,5.3020717144012455,1273.6,4797.2,97.05160886600311,1598.0,19.27037967738956,900.0,25.26574648218398,30.0,5.40498628616333
120,60,45.0,10,854.0,7150.0,218.42513525540494,3599.2,114.51587149720494,5363.0,233.3990791115566,45.0,5.3040228366851805,854.0,7150.0,218.42513525540494,3599.2,114.51587149720494,2025.0,159.12081292510976,45.0,5.499699592590332
120,60,45.0,25,1900.4,7198.8,169.6635206677463,3596.8,51.275394101291454,5399.0,188.1831980375627,45.0,6.135395860671997,1900.4,7198.8,169.6635206677463,3596.8,51.275394101291454,2024.6,66.39516058039621,45.0,5.2603973865509035
