m,n,r,d,P1_Sym_A_norm_0,P1_Sym_AMP_norm_0,P1_Sym_AMP_norm_1,P1_Sym_hatAMP_norm_0,P1_Sym_hatAMP_norm_1,P1_Sym_norm_0,P1_Sym_norm_1,P1_Sym_rank,P1_Sym_time
120,40,30.0,10,562.0,4574.0,122.01284704897175,1599.2,49.85231070735117,894.8,40.81372578120397,40.0,3.89677336
120,40,30.0,25,1273.6,4797.2,97.05160886600311,1598.0,19.27037967738956,894.8,16.280065477463907,40.0,2.47111346
120,60,45.0,10,854.0,7150.0,218.42513525540494,3599.2,114.51587149720494,2016.6,94.77809286128559,60.0,20.519756219999998
120,60,45.0,25,1900.4,7198.8,169.6635206677463,3596.8,51.275394101291454,2016.6,43.33165495531911,60.0,25.1297637
