m,n,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,ADMM_H_norm_0,ADMM_H_norm_1,ADMM_time
180,90,45,10,1554,156.31992748899364,1553,162.8673712184616,1181,146.1636809975907,199.6242404
180,90,45,10,1573,148.75227222363222,1574,144.45794502838507,1433,129.90616181510686,545.3085561
180,90,45,10,1523,150.44853628309926,1524,154.69117533467147,973,136.54368354509666,376.6278911
180,90,45,10,1560,165.33193757585164,1560,166.7082153381801,1077,151.2308497838265,250.5479427
180,90,45,10,1524,150.09855420436446,1526,152.5857176654858,985,137.2640806306581,194.1469594
180,90,45,10,1516,142.36754881593657,1514,144.83310608629589,1032,132.60610503703833,341.5496509
180,90,45,10,1591,147.54337962927332,1596,152.18140300577076,1024,134.59051173393914,222.9097953
180,90,45,10,1557,165.02416237660225,1556,145.13715216303376,819,127.62709297031876,78.8899879
180,90,45,10,1563,150.0295511174138,1564,154.43578457608533,1101,137.49960181876168,234.2858933
180,90,45,25,3831,211.8153382926222,3812,209.7772447909835,3074,185.49288574008162,503.0670157
180,90,45,25,3783,200.4482965092119,3794,212.72182827380703,2809,180.7642370857499,538.979086
180,90,45,25,3813,198.916657277158,3796,186.70883102537744,3010,163.11167252965296,526.9665171
180,90,45,25,3737,213.15842356193872,3731,195.7290765784416,2270,167.70218520567053,461.3305272
180,90,45,25,3772,192.76634006202158,3774,199.05224459458793,2543,167.44540026983907,444.7525565
180,90,45,25,3777,211.68878430950062,3773,200.42694445282072,2789,171.7238872611542,531.3759438
180,90,45,25,3821,222.02362796261446,3835,227.2669976523057,2482,194.59150593838862,380.9281778
180,90,45,25,3897,210.24998631420826,3893,220.74877152897417,2574,190.3761920021438,396.6877556
180,90,45,25,3785,210.0944623750674,3791,202.3086434462824,2789,179.71227559271958,600.0653309
180,90,45,25,3743,215.4962318012275,3738,210.94456152774245,3377,188.00364926512867,728.1960304
