m,n,r,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,DRS_H_norm_0,DRS_H_norm_1,DRS_time
100,50,25,4763,232.10890390071404,4758,223.0573221337084,3734,194.27521523301968,1.3356233
200,100,50,18805,614.1511212517044,18818,609.1346112964623,14958,539.7044089787056,39.8954135
300,150,75,42113,989.3233144911693,42162,1003.0002487815083,33744,868.1897797063455,72.0415877
400,200,100,75397,1561.7790360501172,75400,1528.7476328586056,64234,1339.8936249371018,120.3408668
500,250,125,117182,2078.647228115255,117298,2122.966363456425,100797,1870.6327421485817,170.3777492
