m,n,r,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,DRS_Boyd_H_norm_0,DRS_Boyd_H_norm_1,DRS_Boyd_time,DRS_Boyd_k,DRS_Boyd_feas_res,DRS_H_norm_0,DRS_H_norm_1,DRS_time,DRS_k,DRS_feas_res
100,50,25,4763,232.10890390071404,4758,223.0573221337084,3732,194.27529977580156,1.2647048,1591,6.74601522989798e-5,3732,194.275280178978,3.4395854,5394,9.983990807171559e-6
200,100,50,18805,614.1511212517044,18818,609.1346112964623,14951,539.7043345610709,28.4529057,1998,9.16639631700709e-5,14941,539.7044916840127,128.8273577,9105,9.985188041704497e-6
300,150,75,42113,989.3233144911693,42162,1003.0002487815083,33704,868.1893406280932,46.7254098,1940,0.00011017009434103643,33761,868.1899727915121,222.6906037,10539,9.998729587993762e-6
400,200,100,75397,1561.7790360501172,75400,1528.7476328586056,64173,1339.8930912451303,69.5713336,1999,0.00012595231761551633,64277,1339.8939012465905,387.5666852,12706,9.996588735815326e-6
500,250,125,117182,2078.647228115255,117298,2122.966363456425,100726,1870.6317423875491,107.2298356,2259,0.00013966213568161599,100815,1870.633231671868,547.8490036,13631,9.999724341153035e-6
