m,n,r,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,DRS_H_norm_0,DRS_H_norm_1,DRS_time
100,50,25,4763,232.10890390071404,4758,223.0573221337084,3732,194.27528581464938,11.6583187
200,100,50,18805,614.1511212517044,18818,609.1346112964623,14940,539.7044922900867,245.3650744
300,150,75,42113,989.3233144911693,42162,1003.0002487815083,33765,868.1899721600404,536.0709833
400,200,100,75397,1561.7790360501172,75400,1528.7476328586056,64276,1339.8939030326915,910.7906591
500,250,125,117182,2078.647228115255,117298,2122.966363456425,100815,1870.6332295730665,1414.9230735
