m,n,r,GRB_PLSr_H_norm_0_mean,GRB_PLSr_H_norm_1_mean,GRB_PLSr_H_rank_mean,GRB_P123_time_mean,GRB_PLSr_time_mean
100,50,25,3727.6,204.12381428259994,25.0,-1.0,496.40048112000005
120,60,30,-1.0,-1.0,-1.0,-1.0,-1.0
140,70,35,-1.0,-1.0,-1.0,-1.0,-1.0
160,80,40,-1.0,-1.0,-1.0,-1.0,-1.0
180,90,45,-1.0,-1.0,-1.0,-1.0,-1.0
200,100,50,-1.0,-1.0,-1.0,-1.0,-1.0
220,110,55,-1.0,-1.0,-1.0,-1.0,-1.0
240,120,60,-1.0,-1.0,-1.0,-1.0,-1.0
260,130,65,-1.0,-1.0,-1.0,-1.0,-1.0
280,140,70,-1.0,-1.0,-1.0,-1.0,-1.0
300,150,75,-1.0,-1.0,-1.0,-1.0,-1.0
320,160,80,-1.0,-1.0,-1.0,-1.0,-1.0
340,170,85,-1.0,-1.0,-1.0,-1.0,-1.0
360,180,90,-1.0,-1.0,-1.0,-1.0,-1.0
380,190,95,-1.0,-1.0,-1.0,-1.0,-1.0
400,200,100,-1.0,-1.0,-1.0,-1.0,-1.0
420,210,105,-1.0,-1.0,-1.0,-1.0,-1.0
440,220,110,-1.0,-1.0,-1.0,-1.0,-1.0
460,230,115,-1.0,-1.0,-1.0,-1.0,-1.0
480,240,120,-1.0,-1.0,-1.0,-1.0,-1.0
500,250,125,-1.0,-1.0,-1.0,-1.0,-1.0
520,260,130,-1.0,-1.0,-1.0,-1.0,-1.0
540,270,135,-1.0,-1.0,-1.0,-1.0,-1.0
560,280,140,-1.0,-1.0,-1.0,-1.0,-1.0
580,290,145,-1.0,-1.0,-1.0,-1.0,-1.0
600,300,150,-1.0,-1.0,-1.0,-1.0,-1.0
60,30,15,1344.4,107.82320499316339,15.0,62.73874142,25.39835904
80,40,20,2444.8,164.2247390529463,20.0,358.00712574,124.23044516
