m,n,r,ADMM_H_norm_0_mean,ADMM_H_norm_1_mean,ADMM_H_rank_mean,ADMM_time_mean
100,50,25,3726.2,204.12389003777798,25.0,10.0548412
120,60,30,5462.4,263.7725646155089,30.0,45.39094772
140,70,35,7572.8,338.7399109468444,35.0,116.60995106
160,80,40,9582.4,387.5668336985056,40.0,134.67919628
180,90,45,12308.0,474.40185607296337,45.0,255.27739235999996
200,100,50,15492.2,518.7363049265123,50.0,252.81487262000002
220,110,55,19046.0,637.7152769050862,55.0,272.98004836
240,120,60,22406.2,723.25978562778,60.0,344.78532418000003
260,130,65,26254.0,778.4874153437792,65.0,483.6221455
280,140,70,31004.0,895.9464962998845,70.0,520.7361820399999
300,150,75,35783.4,940.5124475878431,75.0,655.07755042
320,160,80,40038.8,1081.6949591082746,80.0,684.5839566399999
340,170,85,45366.0,1116.7209442944754,85.0,759.19103516
360,180,90,10314.2,232.21450738003242,17.2,473.8702351
380,190,95,-1.0,-1.0,-1.0,-1.0
400,200,100,-1.0,-1.0,-1.0,-1.0
420,210,105,-1.0,-1.0,-1.0,-1.0
440,220,110,-1.0,-1.0,-1.0,-1.0
460,230,115,-1.0,-1.0,-1.0,-1.0
480,240,120,-1.0,-1.0,-1.0,-1.0
500,250,125,-1.0,-1.0,-1.0,-1.0
520,260,130,-1.0,-1.0,-1.0,-1.0
540,270,135,-1.0,-1.0,-1.0,-1.0
560,280,140,-1.0,-1.0,-1.0,-1.0
580,290,145,-1.0,-1.0,-1.0,-1.0
600,300,150,-1.0,-1.0,-1.0,-1.0
60,30,15,1344.0,107.82327494105928,15.0,3.6067707400000004
80,40,20,2444.0,164.2248339210912,20.0,5.17544336
