m,n,r,DRS_H_norm_0_mean,DRS_H_norm_1_mean,DRS_H_rank_mean,DRS_time_mean
100,50,25,3841.8,204.13035373329228,25.0,0.77201438
120,60,30,5610.8,263.7775272574097,30.0,0.9857687399999999
140,70,35,7757.6,338.7463805769833,35.0,9.05010844
160,80,40,9806.0,387.57519797773165,40.0,9.059167339999998
180,90,45,12574.2,474.41246486465513,45.0,9.02088092
200,100,50,15849.4,518.7512840958486,50.0,8.82460326
220,110,55,19454.6,637.7311084009491,55.0,9.89984508
240,120,60,22899.4,723.2785632064144,60.0,10.802533780000001
260,130,65,26817.8,778.5094087953726,65.0,12.0072083
280,140,70,31618.2,895.971876522272,70.0,13.33522736
300,150,75,36445.2,940.5410763646856,75.0,15.066283799999999
320,160,80,40815.8,1081.7266532706806,80.0,15.36425682
340,170,85,46189.6,1116.7569474779734,85.0,18.869816
360,180,90,52176.2,1172.0181438965076,90.0,18.770889340000004
380,190,95,57874.8,1302.4173210241065,95.0,21.4116905
400,200,100,64958.0,1409.0266267626073,100.0,19.872875200000003
420,210,105,71043.0,1477.896391647569,105.0,23.36421528
440,220,110,78444.4,1536.5607680980552,110.0,22.36265904
460,230,115,86258.2,1694.0053586721765,115.0,25.06978734
480,240,120,92864.0,1757.36231247548,120.0,28.003172619999997
500,250,125,100430.8,1873.5226958667583,125.0,29.226159559999996
520,260,130,109901.2,1943.217555961662,130.0,41.85967636
540,270,135,117496.2,2063.9848617440707,135.0,41.85270226
560,280,140,126969.0,2180.9927831209525,140.0,46.753241
580,290,145,136921.0,2280.089794579445,145.0,50.94523796
600,300,150,147895.2,2387.7671786763754,150.0,60.58182354
60,30,15,1386.8,107.82499191051822,15.0,0.2846257
80,40,20,2511.2,164.22693653118225,20.0,0.46918933999999995
