m,n,r,ADMM_H_norm_0_mean,ADMM_H_norm_1_mean,ADMM_H_rank_mean,ADMM_time_mean
100,50,25,3754.8,204.1256806141985,25.0,1.17982338
120,60,30,5542.8,263.7758340155152,30.0,4.4771855
140,70,35,7685.4,338.74419128252276,35.0,8.935035039999999
160,80,40,9696.4,387.5722837976854,40.0,9.90976708
180,90,45,12493.2,474.40942761253973,45.0,16.17029856
200,100,50,15721.2,518.7456769106318,50.0,18.420942959999998
220,110,55,19304.2,637.7268032773516,55.0,19.78617338
240,120,60,22693.8,723.2731000236653,60.0,20.42937436
260,130,65,26647.8,778.5039344122408,65.0,26.310931520000004
280,140,70,31491.6,895.9660927238735,70.0,29.192709100000002
300,150,75,36327.8,940.5353917177245,75.0,31.6402628
320,160,80,40592.6,1081.7192050336664,80.0,32.618023539999996
340,170,85,46081.2,1116.7509246252444,85.0,33.8429096
360,180,90,52232.2,1172.0130701319572,90.0,36.44636146
380,190,95,58025.2,1302.4114450871814,95.0,37.16801766
400,200,100,64990.0,1409.020329597752,100.0,39.98816696
420,210,105,71076.8,1477.8891377939913,105.0,42.339848860000004
440,220,110,78903.0,1536.5589703049445,110.0,45.007805
460,230,115,86465.0,1693.9982011826492,115.0,48.605354399999996
480,240,120,93555.4,1757.3617473495374,120.0,49.845472820000005
500,250,125,101184.8,1873.522967469853,125.0,49.741772579999996
520,260,130,110770.8,1943.2172746130539,130.0,78.38553596
540,270,135,118607.8,2063.9866553841493,135.0,82.4442554
560,280,140,127891.8,2180.9896616628616,140.0,90.73533028
580,290,145,138435.2,2280.096709603537,145.0,97.91800402
600,300,150,149207.4,2387.767330741997,150.0,106.97195584
60,30,15,1364.4,107.8240563366738,15.0,0.41441246000000004
80,40,20,2483.4,164.2263017868185,20.0,0.71348404
