m,n,r,ADMM_H_norm_0_mean,ADMM_H_norm_1_mean,ADMM_H_rank_mean,ADMM_time_mean
100,50,25,3754.8,204.1256806141985,25.0,1.1986772199999998
120,60,30,5542.8,263.7758340155152,30.0,4.1946699800000005
140,70,35,7685.4,338.74419128252276,35.0,8.78503318
160,80,40,9696.4,387.5722837976854,40.0,9.30478312
180,90,45,12493.2,474.40942761253973,45.0,15.308084260000001
200,100,50,15721.2,518.7456769106318,50.0,17.311712280000002
220,110,55,19304.2,637.7268032773516,55.0,18.977372159999998
240,120,60,22693.8,723.2731000236653,60.0,19.25296818
260,130,65,26647.8,778.5039344122406,65.0,25.976661380000003
280,140,70,31491.6,895.9660927238735,70.0,29.135984340000004
300,150,75,36327.8,940.5353917177247,75.0,31.595291279999998
320,160,80,40592.6,1081.7192050336666,80.0,32.04601004
340,170,85,46081.2,1116.7509246252444,85.0,33.54507234
360,180,90,52232.2,1172.0130701319572,90.0,36.39848868
380,190,95,58025.2,1302.4114450871814,95.0,36.29387112
400,200,100,64990.0,1409.0203295977517,100.0,38.21937998
420,210,105,71076.8,1477.8891377939913,105.0,41.46384602
440,220,110,78903.0,1536.5589703049445,110.0,42.94124308
460,230,115,86465.0,1693.9982011826492,115.0,47.96084054000001
480,240,120,93555.4,1757.3617473495374,120.0,48.76055626
500,250,125,101184.8,1873.522967469853,125.0,50.86018744
520,260,130,110770.8,1943.2172746130534,130.0,78.24481490000001
540,270,135,118607.8,2063.9866553841484,135.0,81.8708975
560,280,140,127891.8,2180.9896616628616,140.0,88.97701328
580,290,145,138435.2,2280.096709603537,145.0,94.94947162
600,300,150,149207.4,2387.767330741997,150.0,103.35843259999999
60,30,15,1364.4,107.8240563366738,15.0,0.43542514
80,40,20,2483.4,164.2263017868185,20.0,0.72444722
