m,n,r,DRS_H_norm_0_mean,DRS_H_norm_1_mean,DRS_H_rank_mean,DRS_time_mean
100,50,25,3744.0,204.12569368653638,25.0,1.42897012
120,60,30,5468.2,263.7738373018307,30.0,1.78630538
140,70,35,7570.0,338.7415417073566,35.0,18.917177020000004
160,80,40,9582.0,387.5686676561654,40.0,22.217434700000002
180,90,45,12302.4,474.40409462475554,45.0,23.670240619999998
200,100,50,15522.4,518.7404213342625,50.0,25.160765280000003
220,110,55,19045.0,637.7183246936419,55.0,28.012268919999997
240,120,60,22399.0,723.2633483571309,60.0,29.31749618
260,130,65,26253.0,778.4913090746497,65.0,32.12084106
280,140,70,30987.0,895.9509093545554,70.0,38.1656038
300,150,75,35756.4,940.5173244629108,75.0,41.66527848
320,160,80,40034.4,1081.7003451663072,80.0,44.44913124
340,170,85,45340.6,1116.726827696698,85.0,54.47513086
360,180,90,51267.4,1171.9838952849727,90.0,55.69435722000001
380,190,95,56880.0,1302.3787353779749,95.0,65.34345092000001
400,200,100,63817.4,1408.9843246833648,100.0,61.914452919999995
420,210,105,69870.0,1477.850445302032,105.0,71.84436215999999
440,220,110,77228.2,1536.5106640152887,110.0,71.25536034000001
460,230,115,84912.8,1693.9498252792296,115.0,81.74439198
480,240,120,91545.4,1757.3043479625321,120.0,82.11984335999999
500,250,125,98955.2,1873.4597479580539,125.0,91.09920692
520,260,130,108433.8,1943.1483996385105,130.0,124.18209010000001
540,270,135,115808.0,2063.9093940006023,135.0,130.44479818
560,280,140,125071.4,2180.909531308719,140.0,144.79312608
580,290,145,135184.0,2280.0054763706926,145.0,148.36890788
600,300,150,145999.8,2387.6718342634895,150.0,178.5925764
60,30,15,1353.0,107.82378959171731,15.0,0.43384545999999996
80,40,20,2452.8,164.2255004143558,20.0,0.7521930800000001
