m,n,r,DRS_H_norm_0_mean,DRS_H_norm_1_mean,DRS_H_rank_mean,DRS_time_mean
100,50,25,3770.2,204.12613768975638,25.0,0.44012254000000006
120,60,30,5549.6,263.7762268337515,30.0,0.49096207999999997
140,70,35,7670.2,338.74484786429775,35.0,3.4707226000000007
160,80,40,9714.6,387.57324597357695,40.0,3.45210302
180,90,45,12480.2,474.410067132215,45.0,3.6413914399999996
200,100,50,15704.4,518.7475954689944,50.0,3.6460129399999994
220,110,55,19253.0,637.7271677307551,55.0,3.86363848
240,120,60,22682.0,723.2741101551072,60.0,3.96653392
260,130,65,26548.4,778.5037840124361,65.0,4.140698039999999
280,140,70,31326.2,895.9661009433954,70.0,4.3072312
300,150,75,36114.8,940.5343103956254,75.0,4.82541818
320,160,80,40460.8,1081.7194793457797,80.0,4.73329384
340,170,85,45788.6,1116.7482983291434,85.0,5.4906871200000005
360,180,90,51755.6,1172.0083922216431,90.0,5.65514602
380,190,95,57347.2,1302.4060497357782,95.0,6.1861399399999994
400,200,100,64369.8,1409.0151665347253,100.0,5.61924674
420,210,105,70451.6,1477.8843139308217,105.0,6.35803676
440,220,110,77838.2,1536.5486621375228,110.0,6.150664260000001
460,230,115,85536.0,1693.9897403595828,115.0,7.016262
480,240,120,92189.6,1757.347915156055,120.0,7.5196781
500,250,125,99675.2,1873.506756409643,125.0,7.6620827999999985
520,260,130,109113.4,1943.2000255015187,130.0,13.27405736
540,270,135,116600.8,2063.9652558143994,135.0,13.98852008
560,280,140,125887.2,2180.968310897614,140.0,17.01634324
580,290,145,135990.0,2280.0695481775756,145.0,17.984423139999997
600,300,150,146752.8,2387.739875604132,150.0,22.5877586
60,30,15,1365.6,107.82410431134858,15.0,0.14854078
80,40,20,2484.2,164.22646815137185,20.0,0.21985960000000002
