method,H_div_AMP_norm_0_min,H_div_AMP_norm_0_mean,H_div_AMP_norm_0_max,H_div_AMP_norm_1_min,H_div_AMP_norm_1_mean,H_div_AMP_norm_1_max
ADMM,0.0027391487568478867,0.011104001497376541,0.02744201241424371,5.1042294971770374e-6,1.3442196229218605e-5,2.199271755898291e-5
ADMMe,-0.001170275014628408,-0.00017770598469459646,0.0026812526812526327,1.092430466087535e-7,2.7978421107503294e-7,7.756218418641936e-7
DRS,-0.0005787037037037202,0.00019070431188901725,0.0074195770841061215,3.6023412930408227e-7,6.013023330679139e-7,5.240998816824494e-6
DRS_Boyd,-0.002310469314079411,0.0008924340939506059,0.012907321201861999,3.570557624676951e-6,5.063452463738294e-6,2.5853950631926637e-5
DRS_FP,-0.0015074835791967223,0.0002561085113886382,0.0069956012507286225,2.276381745103251e-6,3.4501673800109897e-6,1.2442632222553485e-5
