m,n,r,DRS_H_norm_0_mean,DRS_H_norm_1_mean,DRS_H_rank_mean,DRS_time_mean
100,50,25,3727.8,204.12394706519086,25.0,3.8806325200000003
120,60,30,5467.2,263.77265029445243,30.0,5.63958016
140,70,35,7567.8,338.74001949301186,35.0,77.08503639999999
160,80,40,9583.0,387.5669532596411,40.0,88.59680746
180,90,45,12311.0,474.4020066637566,45.0,99.7455405
200,100,50,15523.2,518.7369984719533,50.0,116.59465795999999
220,110,55,19051.4,637.7154404983927,55.0,126.97336003999999
240,120,60,22410.6,723.2599769571656,60.0,139.50772397999998
260,130,65,26260.2,778.4876212217066,65.0,159.39230932
280,140,70,31009.8,895.9467244390847,70.0,169.30798679999998
300,150,75,35787.2,940.5126869147385,75.0,200.39806884
320,160,80,40038.0,1081.6952158242716,80.0,197.17076464
340,170,85,45369.2,1116.7212031661084,85.0,226.83543767999998
360,180,90,51313.2,1171.9779316231602,90.0,272.69887038
380,190,95,56919.0,1302.3721329573152,95.0,289.7061706
400,200,100,63894.4,1408.9770569451114,100.0,309.81489932
420,210,105,69934.8,1477.842768680929,105.0,350.1824312
440,220,110,77341.4,1536.5026297300922,110.0,377.13090336
460,230,115,84990.4,1693.9409882850196,115.0,412.08537484
480,240,120,91647.8,1757.295092934203,120.0,433.0378453
500,250,125,99048.0,1873.44993754054,125.0,488.10159195999995
520,260,130,108550.0,1943.1381359323404,130.0,687.8170172
540,270,135,115942.6,2063.898530726315,135.0,722.8248272000001
560,280,140,125207.6,2180.8980080831752,140.0,767.09996508
580,290,145,135353.6,2279.9932504132657,145.0,879.2349160800001
600,300,150,146159.6,2387.6587403904714,150.0,899.60799858
60,30,15,1345.4,107.82330201362652,15.0,1.12550506
80,40,20,2445.4,164.22485872083894,20.0,2.29000128
