,,,,,,,,Gurobi,,,,,,LS,,,,,,,,,ADMM,,,ADMMe,,
m,n,r,d,A+AF8-norm+AF8-0,A+AF8-norm+AF8-1,AMP+AF8-norm+AF8-0,AMP+AF8-norm+AF8-1,GRB+AF8-P1+AF8-H+AF8-norm+AF8-0,GRB+AF8-P1+AF8-H+AF8-norm+AF8-1,GRB+AF8-P1+AF8-time,GRB+AF8-P1+AF8-Sym+AF8-H+AF8-norm+AF8-0,GRB+AF8-P1+AF8-Sym+AF8-H+AF8-norm+AF8-1,GRB+AF8-P1+AF8-Sym+AF8-time,1+AF8-norm+AF8-P123+AF8-LS+AF8AfAB8-H+AHwAfABf-1,1+AF8-norm+AF8-P123+AF8-LS+AF8AfAB8-H+AHwAfABf-0,1+AF8-norm+AF8-P123+AF8-LS+AF8-Time(s),1+AF8-norm+AF8-P1+AF8-LS+AF8AfAB8-H+AHwAfABf-1,1+AF8-norm+AF8-P1+AF8-LS+AF8AfAB8-H+AHwAfABf-0,1+AF8-norm+AF8-P1+AF8-LS+AF8-Time(s),1+AF8-norm+AF8-P1+AF8-sym+AF8-LS+AF8AfAB8-H+AHwAfABf-1,1+AF8-norm+AF8-P1+AF8-sym+AF8-LS+AF8AfAB8-H+AHwAfABf-0,1+AF8-norm+AF8-P1+AF8-sym+AF8-LS+AF8-Time(s),ADMM+AF8-H+AF8-norm+AF8-0,ADMM+AF8-H+AF8-norm+AF8-1,ADMM+AF8-time,ADMM+AF8-H+AF8-norm+AF8-0,ADMM+AF8-H+AF8-norm+AF8-1,ADMM+AF8-time
150,75,27,10,1046,147.373064968737,1012,49.6864325085857,209,14.8918371938863,7.8614042,209,14.8918369191543,4.9812202,46.5790184861293,386,5.49719452857971,17.8026126636016,189,6.0183892250061,17.8026126636016,189,6.0273175239563,713,42.6155342406022,5.3696018,564,42.6116761405046,244.2755653
150,75,27,10,1071,146.172252493939,1048,49.3295831629545,124,15.1383632395326,3.5219749,124,15.1383634313355,3.2436909,43.5948014408303,257,5.98345565795898,15.9390973140304,107,5.82549548149109,15.9390973140304,107,5.71861696243286,600,42.707367854089,3.8309683,461,42.7035091327239,168.9934516
150,75,27,10,1093,150.918144023919,1076,50.5987550758084,159,15.2549760358229,2.4751942,159,15.2549769215464,2.3887678,44.862149866765,285,5.88126683235169,19.0096426262456,147,6.30532288551331,19.0096426262456,147,5.86809301376343,657,42.7046794259948,3.5366865,534,42.7022718198603,191.5173151
150,75,27,10,1069,147.496106061144,1050,50.4604255541962,131,14.5753552722721,3.2554888,131,14.6051185585038,3.0037988,45.9643807743743,312,5.68739223480225,18.0792571258454,141,5.93028211593628,18.0792571258454,141,6.04792332649231,622,43.4853060677355,3.0149938,498,43.4802572416362,171.7733531
150,75,27,10,1087,161.164821399186,1075,55.3424659178916,177,16.5464335454501,3.2866703,175,16.5464313869348,2.4769898,50.8969720199315,464,5.64609456062317,21.3962820206092,213,5.60148358345032,21.3962820206092,213,6.26925754547119,603,46.5824244917591,3.3221419,494,46.5794698525342,97.7220285
150,75,27,10,1072,165.101855687414,1068,55.7039975871106,164,15.1305908230405,4.0996512,164,15.1305912085437,6.0354187,48.1849938402765,292,5.35192894935608,16.7506306925711,135,5.72679853439331,16.7506306925711,135,6.18357920646668,577,47.0322269529807,30.571976,510,47.0306637574527,128.3454634
150,75,27,25,2673,218.33123128659,2611,72.9434695041887,524,19.4096421868738,69.0028483,524,19.4096411782032,37.4749544,67.9593434733609,808,5.6790337562561,26.5735662051654,305,6.05030250549316,27.7351495600496,315,5.89177370071411,1828,59.6271671090193,7.3147666,1394,59.6191044601279,522.5032266
150,75,27,25,2624,215.82819633217,2595,75.0373790419655,455,18.4531015853835,55.079991,457,18.4531015104322,30.5257522,67.8938806350932,859,5.8205349445343,28.0919382211701,303,5.69956541061401,28.0919382211701,303,5.94772171974182,1799,61.4382620904715,7.0353271,1422,61.4294069270113,373.3784888
150,75,27,25,2696,198.737548905307,2680,65.5396128270035,394,20.6096531581179,61.3794233,394,20.6096473718996,33.3099612,61.8832587928688,937,5.69276595115662,30.7162086296891,273,5.80166363716126,30.7162086296891,273,5.75405812263489,1800,52.3662511185447,8.0248061,1373,52.3545640963382,481.8966136
150,75,27,25,2587,223.276422894022,2529,77.8233874929746,415,18.8265983254707,71.3019892,409,18.8265975879032,30.0903838,75.6287340266465,748,5.74302363395691,43.3761632671606,279,5.99778151512146,43.3761632671606,279,5.71046471595764,1374,60.7499098173189,5.153905,1052,60.7401592601672,363.6061563
150,75,27,25,2658,205.784167639694,2621,68.8810588652187,519,19.8502121661852,87.8015599,519,19.8502123381043,31.6790219,65.7743876107283,986,6.05177783966064,36.0065435638544,315,5.84480595588684,35.5188995620104,355,5.735111951828,2139,55.4930168254046,6.9781704,1781,55.4846507384076,445.6327094
150,75,27,25,2678,203.556711330739,2634,69.5748334187862,396,21.1301713266496,49.7164738,396,21.1301713299643,31.8791393,61.6398678576408,792,6.28132891654968,27.2828250034906,267,5.93419456481934,27.2828250034906,267,5.95051789283752,1746,58.3653157193104,6.1931286,1421,58.3554284544019,448.6298241
150,75,27,25,2636,215.395456540503,2589,73.198250772322,412,20.2339362105301,74.4427889,412,20.2339389375775,104.5003322,64.7903418145941,855,5.82267332077026,24.5157192618749,295,5.56231331825256,24.5157192618749,295,5.73628950119019,1826,60.5841560116042,6.6095477,1491,60.5754609535043,448.9876534
150,75,27,25,2711,211.344931103752,2681,71.713505781228,274,18.7171501831545,41.0130217,274,18.7171501603295,22.4575823,58.3426365975864,681,5.69864082336426,22.5871120184204,257,5.49719548225403,32.6931945536694,307,5.8715283870697,1511,55.345306127918,5.3648792,1082,55.3367566631892,337.7992937
150,75,27,25,2630,217.039017131926,2563,71.9376602284365,431,18.4710261075884,50.5862859,431,18.4710271373157,29.054541,68.6805192880815,859,5.46179890632629,33.7085644578277,271,5.89400267601013,33.7085644578277,271,5.92744159698486,1764,58.5273767714072,6.1899596,1375,58.516856075928,391.6375477
150,75,27,25,2626,201.760952302252,2582,68.0736637354053,462,17.5250179293434,42.9942289,462,17.5250168523189,31.4254306,58.2729697897007,749,6.10033464431763,23.5364902158062,235,5.88353776931763,23.5364902158062,235,5.60134887695313,1517,53.2899821975863,5.3260203,1261,53.2825229877922,252.2156472
150,75,42,10,1068,223.167403086524,1062,69.1338998425596,228,19.715633139754,3.9753703,220,19.7156346592629,7.6315552,67.2338729034133,520,6.47950911521912,24.7731292604,244,5.95472049713135,24.7731292604,244,5.63346457481384,782,63.8849189035058,7.0956652,725,63.8800568533862,103.718151
150,75,42,10,1069,230.563100059666,1067,72.0335720302625,281,20.9185524698543,3.8838291,281,20.9185526005686,3.2120706,69.9008897004363,422,6.09690523147583,30.2601215402325,244,5.94813561439514,30.2601215402325,244,6.42144870758057,790,64.7644307777377,3.0405865,701,64.7616397424277,113.2185084
150,75,42,10,1082,207.095382298678,1081,65.7205418292737,271,19.3577907838654,2.7959415,271,19.3577907839447,3.1636054,61.411217471914,429,5.39652037620544,22.046879561391,190,5.92927694320679,22.046879561391,190,5.69790124893189,707,59.2422767460796,7.9311221,668,59.2406484811477,138.5143484
150,75,42,10,1101,216.304633787941,1101,66.8702981873485,161,18.5752009894717,2.7696416,161,18.5752009894657,3.1734765,61.1874530032723,394,5.63082194328308,25.206387223859,198,5.63106441497803,25.206387223859,198,5.5852222442627,664,57.7014700514988,2.2609666,542,57.697474968717,66.9400908
150,75,42,10,1097,219.751682107344,1090,67.3484870111915,253,18.5334888092791,2.9352045,253,18.53348986993,2.4955141,64.3756397782849,360,6.42097783088684,22.4763657025567,222,6.11346626281738,22.4763657025567,222,5.70251202583313,711,60.3433539714917,3.0576242,667,60.3420825979608,160.4424059
150,75,42,10,1103,214.881783388012,1098,67.1143501283874,293,19.8907980467628,8.265658,293,19.8907973985796,7.3715244,65.1467969198314,586,6.00608348846436,25.9226097245664,292,5.68856954574585,25.9226097245664,292,5.54132580757141,827,60.271732448594,2.7596016,674,60.2682489355701,72.5519445
150,75,42,10,1086,219.358752003663,1077,67.0524460070422,296,17.7934216280258,9.21693,296,17.7934235768585,6.9189155,65.7092936867229,659,5.72099208831787,24.3403436858866,298,6.08490490913391,24.3403436858866,298,5.77059602737427,1002,60.9672038261388,3.6250655,820,60.9623287572163,300.8046428
150,75,42,10,1115,220.672687992393,1112,68.6587681419644,240,18.5202058064583,2.2292354,239,18.5202054038264,2.2449787,68.9949893223465,394,6.233642578125,20.0234113543572,152,5.78926086425781,21.1013076777216,182,5.65497541427612,754,63.6986277944057,4.379313,661,63.6946987001507,84.8645267
150,75,42,10,1070,222.527018062091,1067,69.112080863828,374,18.3188551523124,5.3051582,374,18.3188531435188,3.2223735,68.4567971038683,595,6.08406472206116,24.0093613042777,262,5.85105109214783,24.0093613042777,262,5.97789978981018,871,63.2085196983465,2.986834,763,63.2059654479441,236.4636353
150,75,42,10,1054,214.152153498206,1048,68.1295408698829,152,20.1864925396531,3.1433617,152,20.1864926648215,3.3410406,63.1965727689358,344,6.29131484031677,22.7668655152532,138,5.62922143936157,22.7668655152532,138,5.49433898925781,771,61.8743746308448,2.1667129,635,61.8704201036139,29.992755
150,75,42,25,2648,287.76841959095,2619,89.8063948865048,756,23.5065437874029,113.6791882,754,23.5065438919195,29.7057796,84.2366915617749,1135,6.03102946281433,30.0809487920349,442,5.28851962089539,30.0809487920349,442,6.23423981666565,2361,79.9545388261951,6.8846459,2021,79.9471067505504,408.3694694
150,75,42,25,2719,286.437219994338,2688,89.1951355406777,772,21.2843000415408,82.9978898,774,21.284299705737,29.1110258,88.0440860970619,903,6.05539846420288,38.6591654305434,438,6.07647395133972,38.6591654305434,438,5.93675398826599,1876,76.4576454433197,5.7551273,1659,76.4510657993122,439.3915579
150,75,42,25,2686,289.003010978142,2660,90.0298303924019,704,23.7778378595129,90.0923141,704,23.7778358859625,190.591471,92.3993949028172,1266,5.75365471839905,36.8712554529781,572,5.85301661491394,36.8712554529781,572,5.77112603187561,2279,80.44298139172,9.5644372,2030,80.4360831350864,362.1259795
150,75,42,25,2635,313.998772031734,2598,97.385668031248,749,21.7664734387876,33.9346424,749,21.7664751001742,77.7807738,93.7714748732789,1175,6.56528568267822,27.2046689498523,580,5.69545555114746,27.2046689498523,580,5.456059217453,2423,88.6667911048023,6.6838157,2235,88.6612858047872,231.1417208
150,75,42,25,2729,313.306935291259,2727,98.6739297460949,713,23.0962291366012,572.0257854,715,23.0962226098644,29.0651949,105.928942898955,1368,6.03698420524597,48.6678200978158,604,5.72361516952515,48.6678200978157,604,5.76980972290039,2541,85.8587525944844,6.9060428,2216,85.8502620817949,374.0885919
150,75,42,25,2653,307.272383772428,2627,96.9351368352356,896,23.4966216301293,123.4872515,896,23.4966241204772,34.5448162,96.709944008501,1467,6.46082735061646,32.5471313018545,648,5.55873107910156,32.5471313018545,648,6.11927819252014,2428,87.5729980910042,7.9332459,2187,87.5662405566952,488.3372097
150,75,42,25,2663,305.289248368017,2641,96.2669440347021,752,24.2956108767591,73.5675077,752,24.2956132882087,24.1822596,93.1154698382405,1026,5.92408418655396,32.0458488082822,422,5.58112978935242,32.0458488082822,422,5.47786355018616,2481,88.2878457388553,6.0380789,2190,88.2803539537805,343.0023439
150,75,42,25,2721,286.988736604522,2698,91.1759403743807,776,24.2043540092574,156.6781729,776,24.2043539737685,434.3987697,93.0685934240395,1394,6.35839200019836,42.4245840642686,636,6.11648464202881,42.4245840642686,636,5.52628970146179,2334,80.6635809394971,8.4023092,2020,80.6544289327464,523.4429889
150,75,42,25,2689,301.211515071895,2656,93.3143022666194,1046,22.5678153839456,72.0596886,1046,22.5678154881534,48.4262031,101.294377778479,1507,5.72759580612183,51.713801151538,660,5.89121317863464,53.5528267918467,632,5.64959001541138,2940,84.6988411395382,7.3473866,2578,84.6897991003755,481.7060131
150,75,42,25,2630,257.067235824607,2545,78.4967149877663,712,19.2552508474132,53.9290337,710,19.2552565528879,28.1711564,76.5183880389064,1148,5.99240040779114,27.5016875614323,498,5.7615237236023,27.5016875614323,498,6.0231077671051,2295,70.354011819024,6.5064943,2003,70.3457889279592,404.0280665
