m,n,r,d,GRB_P1_P4_H_norm_0_mean,GRB_P1_P4_H_norm_1_mean,GRB_P1_P4_H_rank_mean,GRB_P1_P4_time_mean,GRB_PMN_H_norm_0_mean,GRB_PMN_H_norm_1_mean,GRB_PMN_H_rank_mean,GRB_PMN_time_mean
100,50,25,100,1237.4,166.74446104308944,50,208.11442384000003,1237.2,166.74445335250715,50,1.18792428
120,60,30,100,1791.6,215.29299513401003,60,612.9528843400001,1790.4,215.29298650266978,60,2.84749382
60,30,15,100,449.6,88.49545596210775,30,9.59783966,449.6,88.49545534234792,30,0.20545404
80,40,20,100,799.4,131.392589606503,40,53.78861728,799.4,131.39258888581867,40,0.5619365399999999
