m,n,r,GRB_PMN_H_norm_0_mean,GRB_PMN_H_norm_1_mean,GRB_PMN_H_rank_mean,GRB_P1_P4_time_mean,GRB_PMN_time_mean
70,140,35,4762.6,314.8052507994763,67.4,-1.0,4.02515512
80,160,40,6161.6,360.91470968351626,76.6,-1.0,6.183430079999999
90,180,45,7833.6,440.42358670161155,87.0,-1.0,9.35003446
100,200,50,9658.2,484.01755771555975,97.0,-1.0,15.66467526
110,220,55,11732.4,590.1176771715973,108.4,-1.0,25.11206894
120,240,60,13846.2,668.8173303080506,117.8,-1.0,32.464301240000005
130,260,65,16420.0,722.7787556263816,126.2,-1.0,45.180630719999996
140,280,70,18943.8,828.1433808960921,137.2,-1.0,59.719277899999994
150,300,75,21780.8,871.7524678879718,147.2,-1.0,71.75204776
160,320,80,24747.2,1000.0035666540037,157.8,-1.0,100.27736780000001
170,340,85,27981.4,1038.2852184901817,167.8,-1.0,122.96001438
180,360,90,31449.4,1090.1503632490235,176.6,-1.0,148.20760144000002
190,380,95,34902.6,1207.8724995848922,187.4,-1.0,195.23855387999998
200,400,100,38866.0,1306.425169847845,196.8,-1.0,241.55056406
210,420,105,42869.2,1368.8362447154773,206.8,-1.0,288.4538630999999
220,440,110,46996.8,1431.7750672405814,216.0,-1.0,369.49265128
230,460,115,51250.8,1567.5701581802532,227.2,-1.0,423.9708420200001
240,480,120,56027.8,1635.9455381692278,235.4,-1.0,594.5953385600001
250,500,125,60692.0,1743.01602847303,245.2,-1.0,590.13911752
260,520,130,65647.6,1806.2494854930217,257.6,-1.0,763.57081176
270,540,135,-1.0,-1.0,-1.0,-1.0,-1.0
280,560,140,-1.0,-1.0,-1.0,-1.0,-1.0
290,580,145,-1.0,-1.0,-1.0,-1.0,-1.0
300,600,150,-1.0,-1.0,-1.0,-1.0,-1.0
